Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
105,2022-08-02,WSN,,NYM,2:48,N,,WSN
106,2022-08-03,WSN,,NYM,3:18,D,,WSN
107,2022-08-04,WSN,@,PHI,1:39,N,,PHI
108,2022-08-05,WSN,@,PHI,2:46,N,,PHI
109,2022-08-06,WSN,@,PHI,3:39,N,,PHI
110,2022-08-07,WSN,@,PHI,3:19,D,,PHI
111,2022-08-08,WSN,@,CHC,2:48,N,,CHC
112,2022-08-09,WSN,@,CHC,3:17,N,,CHC
113,2022-08-10,WSN,@,CHC,2:45,D,,CHC
114,2022-08-12,WSN,,SDP,4:03,N,,WSN
115,2022-08-13,WSN,,SDP,3:31,N,,WSN
116,2022-08-14,WSN,,SDP,3:18,D,,WSN
117,2022-08-15,WSN,,CHC,2:59,N,,WSN
118,2022-08-16,WSN,,CHC,3:47,N,,WSN
119,2022-08-17,WSN,,CHC,2:56,D,,WSN
120,2022-08-18,WSN,@,SDP,3:19,N,,SDP
121,2022-08-19,WSN,@,SDP,3:46,N,,SDP
122,2022-08-20,WSN,@,SDP,3:18,N,,SDP
123,2022-08-21,WSN,@,SDP,2:30,D,,SDP
124,2022-08-23,WSN,@,SEA,2:48,N,,SEA
125,2022-08-24,WSN,@,SEA,2:57,D,,SEA
126,2022-08-26,WSN,,CIN,3:07,N,,WSN
127,2022-08-27,WSN,,CIN,3:05,N,,WSN
128,2022-08-28,WSN,,CIN,2:21,D,,WSN
129,2022-08-30,WSN,,OAK,3:24,N,,WSN
130,2022-08-31,WSN,,OAK,2:51,N,,WSN
131,2022-09-01,WSN,,OAK,4:02,D,,WSN
132,2022-09-02,WSN,@,NYM,3:09,N,,NYM
133,2022-09-03,WSN,@,NYM,2:52,N,,NYM
134,2022-09-04,WSN,@,NYM,2:54,D,,NYM
135,2022-09-05,WSN,@,STL,3:05,D,,STL
136,2022-09-06,WSN,@,STL,2:49,N,,STL
137,2022-09-07,WSN,@,STL,3:18,N,,STL
138,2022-09-08,WSN,@,STL,3:57,D,,STL
139,2022-09-09,WSN,@,PHI,2:39,N,,PHI
140,2022-09-10,WSN,@,PHI,3:15,N,,PHI
141,2022-09-11,WSN,@,PHI,3:29,D,,PHI
142,2022-09-13,WSN,,BAL,3:18,N,,WSN
143,2022-09-14,WSN,,BAL,2:53,N,,WSN
144,2022-09-16,WSN,,MIA,3:00,N,,WSN
145,2022-09-17,WSN,,MIA,3:02,D,,WSN
146,2022-09-18,WSN,,MIA,2:27,D,,WSN
147,2022-09-19,WSN,@,ATL,2:46,N,,ATL
148,2022-09-20,WSN,@,ATL,3:18,N,,ATL
149,2022-09-21,WSN,@,ATL,3:13,D,,ATL
150,2022-09-23,WSN,@,MIA,2:41,N,,MIA
151,2022-09-24,WSN,@,MIA,2:18,N,,MIA
152,2022-09-25,WSN,@,MIA,3:09,D,,MIA
153,2022-09-26,WSN,,ATL,2:24,N,,WSN
154,2022-09-27,WSN,,ATL,2:47,N,,WSN
155,2022-09-28,WSN,,ATL,3:13,N,,WSN
156,2022-09-30,WSN,,PHI,3:17,D,,WSN
157,2022-10-01,WSN,,PHI,2:58,D,,WSN
158,2022-10-01,WSN,,PHI,2:49,N,,WSN
159,2022-10-02,WSN,,PHI,2:20,D,,WSN
160,2022-10-04,WSN,@,NYM,3:12,N,2022-10-03 (),NYM
161,2022-10-04,WSN,@,NYM,3:09,N,,NYM
162,2022-10-05,WSN,@,NYM,2:44,D,,NYM
