Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
53,2024-05-24,OAK,,HOU,2:31,N,,OAK
54,2024-05-25,OAK,,HOU,2:24,D,,OAK
55,2024-05-26,OAK,,HOU,2:20,D,,OAK
56,2024-05-28,OAK,@,TBR,2:31,N,,TBR
57,2024-05-29,OAK,@,TBR,2:55,N,,TBR
58,2024-05-30,OAK,@,TBR,3:12,D,,TBR
59,2024-05-31,OAK,@,ATL,2:07,N,,ATL
60,2024-06-01,OAK,@,ATL,2:53,D,,ATL
61,2024-06-02,OAK,@,ATL,2:28,D,,ATL
62,2024-06-04,OAK,,SEA,2:48,N,,OAK
63,2024-06-05,OAK,,SEA,2:14,N,,OAK
64,2024-06-06,OAK,,SEA,2:35,D,,OAK
65,2024-06-07,OAK,,TOR,2:07,N,,OAK
66,2024-06-08,OAK,,TOR,2:27,D,,OAK
67,2024-06-09,OAK,,TOR,2:32,D,,OAK
68,2024-06-10,OAK,@,SDP,2:52,N,,SDP
69,2024-06-11,OAK,@,SDP,2:40,N,,SDP
70,2024-06-12,OAK,@,SDP,2:43,D,,SDP
71,2024-06-13,OAK,@,MIN,2:23,N,,MIN
72,2024-06-14,OAK,@,MIN,2:52,N,,MIN
73,2024-06-16,OAK,@,MIN,2:43,D,2024-06-15 (MIN04),MIN
74,2024-06-16,OAK,@,MIN,2:41,N,,MIN
75,2024-06-18,OAK,,KCR,2:31,N,,OAK
76,2024-06-19,OAK,,KCR,2:35,N,,OAK
77,2024-06-20,OAK,,KCR,2:23,D,,OAK
78,2024-06-21,OAK,,MIN,2:20,N,,OAK
79,2024-06-22,OAK,,MIN,2:30,D,,OAK
80,2024-06-23,OAK,,MIN,2:11,D,,OAK
81,2024-06-24,OAK,@,LAA,2:23,N,,LAA
82,2024-06-25,OAK,@,LAA,2:47,N,,LAA
83,2024-06-26,OAK,@,LAA,2:37,D,,LAA
84,2024-06-28,OAK,@,ARI,2:57,N,,ARI
85,2024-06-29,OAK,@,ARI,2:13,D,,ARI
86,2024-06-30,OAK,@,ARI,2:21,D,,ARI
87,2024-07-02,OAK,,LAA,2:40,N,,OAK
88,2024-07-03,OAK,,LAA,2:14,N,,OAK
89,2024-07-04,OAK,,LAA,2:38,D,,OAK
90,2024-07-05,OAK,,BAL,2:28,N,,OAK
91,2024-07-06,OAK,,BAL,2:59,D,,OAK
92,2024-07-07,OAK,,BAL,2:35,D,,OAK
93,2024-07-09,OAK,@,BOS,3:05,N,,BOS
94,2024-07-10,OAK,@,BOS,2:46,N,,BOS
95,2024-07-11,OAK,@,BOS,2:20,N,,BOS
96,2024-07-12,OAK,@,PHI,2:37,N,,PHI
97,2024-07-13,OAK,@,PHI,2:55,D,,PHI
98,2024-07-14,OAK,@,PHI,2:35,D,,PHI
99,2024-07-19,OAK,,LAA,2:39,N,,OAK
100,2024-07-20,OAK,,LAA,2:29,D,,OAK
101,2024-07-21,OAK,,LAA,3:08,D,,OAK
102,2024-07-22,OAK,,HOU,2:07,N,,OAK
103,2024-07-23,OAK,,HOU,2:24,N,,OAK
104,2024-07-24,OAK,,HOU,2:30,D,,OAK
105,2024-07-25,OAK,@,LAA,2:36,N,,LAA
106,2024-07-26,OAK,@,LAA,2:29,N,,LAA
107,2024-07-27,OAK,@,LAA,2:23,N,,LAA
108,2024-07-28,OAK,@,LAA,2:48,D,,LAA
109,2024-07-30,OAK,@,SFG,2:40,N,,SFG
110,2024-07-31,OAK,@,SFG,1:55,N,,SFG
111,2024-08-02,OAK,,LAD,2:27,N,,OAK
112,2024-08-03,OAK,,LAD,2:47,N,,OAK
113,2024-08-04,OAK,,LAD,2:27,D,,OAK
114,2024-08-05,OAK,,CHW,2:15,N,,OAK
115,2024-08-06,OAK,,CHW,2:18,N,,OAK
116,2024-08-07,OAK,,CHW,2:14,D,,OAK
117,2024-08-09,OAK,@,TOR,2:20,N,,TOR
118,2024-08-10,OAK,@,TOR,2:20,D,,TOR
119,2024-08-11,OAK,@,TOR,2:35,D,,TOR
120,2024-08-13,OAK,@,NYM,3:00,N,,NYM
121,2024-08-14,OAK,@,NYM,2:29,N,,NYM
122,2024-08-15,OAK,@,NYM,3:45,D,,NYM
123,2024-08-17,OAK,,SFG,2:37,D,,OAK
124,2024-08-18,OAK,,SFG,2:42,D,,OAK
125,2024-08-19,OAK,,TBR,2:22,N,,OAK
126,2024-08-20,OAK,,TBR,1:54,N,,OAK
127,2024-08-21,OAK,,TBR,2:32,N,,OAK
128,2024-08-22,OAK,,TBR,2:30,D,,OAK
129,2024-08-23,OAK,,MIL,2:51,N,,OAK
130,2024-08-24,OAK,,MIL,2:58,D,,OAK
131,2024-08-25,OAK,,MIL,2:27,D,,OAK
132,2024-08-27,OAK,@,CIN,2:57,N,,CIN
133,2024-08-28,OAK,@,CIN,2:27,N,,CIN
134,2024-08-29,OAK,@,CIN,2:49,N,,CIN
135,2024-08-30,OAK,@,TEX,2:38,N,,TEX
136,2024-08-31,OAK,@,TEX,2:20,N,,TEX
137,2024-09-01,OAK,@,TEX,3:03,D,,TEX
138,2024-09-02,OAK,,SEA,2:40,D,,OAK
139,2024-09-03,OAK,,SEA,2:15,N,,OAK
140,2024-09-04,OAK,,SEA,2:47,N,,OAK
141,2024-09-05,OAK,,SEA,2:51,D,,OAK
142,2024-09-06,OAK,,DET,3:45,N,,OAK
143,2024-09-07,OAK,,DET,2:23,D,,OAK
144,2024-09-08,OAK,,DET,3:01,D,,OAK
145,2024-09-10,OAK,@,HOU,3:14,N,,HOU
146,2024-09-11,OAK,@,HOU,2:30,N,,HOU
147,2024-09-12,OAK,@,HOU,2:21,D,,HOU
148,2024-09-13,OAK,@,CHW,2:20,N,,CHW
149,2024-09-14,OAK,@,CHW,3:02,N,,CHW
150,2024-09-15,OAK,@,CHW,2:13,D,,CHW
151,2024-09-16,OAK,@,CHC,2:33,N,,CHC
152,2024-09-17,OAK,@,CHC,2:48,N,,CHC
153,2024-09-18,OAK,@,CHC,2:40,D,,CHC
154,2024-09-20,OAK,,NYY,2:36,N,,OAK
155,2024-09-21,OAK,,NYY,2:39,N,,OAK
156,2024-09-22,OAK,,NYY,2:55,D,,OAK
157,2024-09-24,OAK,,TEX,2:34,N,,OAK
158,2024-09-25,OAK,,TEX,2:49,N,,OAK
159,2024-09-26,OAK,,TEX,2:29,D,,OAK
160,2024-09-27,OAK,@,SEA,2:26,N,,SEA
161,2024-09-28,OAK,@,SEA,2:57,N,,SEA
162,2024-09-29,OAK,@,SEA,2:29,D,,SEA
