Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
37,2024-05-08,ARI,@,CIN,2:42,N,,CIN
38,2024-05-09,ARI,@,CIN,2:51,D,,CIN
39,2024-05-10,ARI,@,BAL,2:34,N,,BAL
40,2024-05-11,ARI,@,BAL,3:11,D,,BAL
41,2024-05-12,ARI,@,BAL,2:43,D,,BAL
42,2024-05-13,ARI,,CIN,3:18,N,,ARI
43,2024-05-14,ARI,,CIN,2:30,N,,ARI
44,2024-05-15,ARI,,CIN,1:59,D,,ARI
45,2024-05-17,ARI,,DET,2:17,N,,ARI
46,2024-05-18,ARI,,DET,2:51,N,,ARI
47,2024-05-19,ARI,,DET,2:37,D,,ARI
48,2024-05-20,ARI,@,LAD,2:39,N,,LAD
49,2024-05-21,ARI,@,LAD,2:30,N,,LAD
50,2024-05-22,ARI,@,LAD,2:40,N,,LAD
51,2024-05-24,ARI,,MIA,1:58,N,,ARI
52,2024-05-25,ARI,,MIA,2:21,N,,ARI
53,2024-05-26,ARI,,MIA,2:37,D,,ARI
54,2024-05-28,ARI,@,TEX,2:11,N,,TEX
55,2024-05-29,ARI,@,TEX,2:42,D,,TEX
56,2024-05-30,ARI,@,NYM,2:43,N,,NYM
57,2024-05-31,ARI,@,NYM,2:51,N,,NYM
58,2024-06-01,ARI,@,NYM,2:53,D,,NYM
59,2024-06-02,ARI,@,NYM,2:40,D,,NYM
60,2024-06-03,ARI,,SFG,2:12,N,,ARI
61,2024-06-04,ARI,,SFG,2:59,N,,ARI
62,2024-06-05,ARI,,SFG,3:30,D,,ARI
63,2024-06-06,ARI,@,SDP,2:51,N,,SDP
64,2024-06-07,ARI,@,SDP,2:59,N,,SDP
65,2024-06-08,ARI,@,SDP,2:49,N,,SDP
66,2024-06-09,ARI,@,SDP,3:01,D,,SDP
67,2024-06-11,ARI,,LAA,3:17,N,,ARI
68,2024-06-12,ARI,,LAA,2:42,N,,ARI
69,2024-06-13,ARI,,LAA,2:36,N,,ARI
70,2024-06-14,ARI,,CHW,2:19,N,,ARI
71,2024-06-15,ARI,,CHW,2:57,N,,ARI
72,2024-06-16,ARI,,CHW,2:49,D,,ARI
73,2024-06-18,ARI,@,WSN,2:19,N,,WSN
74,2024-06-19,ARI,@,WSN,2:15,D,,WSN
75,2024-06-20,ARI,@,WSN,2:17,D,,WSN
76,2024-06-21,ARI,@,PHI,2:57,N,,PHI
77,2024-06-22,ARI,@,PHI,2:23,D,,PHI
78,2024-06-23,ARI,@,PHI,2:36,D,,PHI
79,2024-06-25,ARI,,MIN,2:09,N,,ARI
80,2024-06-26,ARI,,MIN,2:37,N,,ARI
81,2024-06-27,ARI,,MIN,2:56,D,,ARI
82,2024-06-28,ARI,,OAK,2:57,N,,ARI
83,2024-06-29,ARI,,OAK,2:13,D,,ARI
84,2024-06-30,ARI,,OAK,2:21,D,,ARI
85,2024-07-02,ARI,@,LAD,2:44,N,,LAD
86,2024-07-03,ARI,@,LAD,3:23,N,,LAD
87,2024-07-04,ARI,@,LAD,2:48,N,,LAD
88,2024-07-05,ARI,@,SDP,2:58,N,,SDP
89,2024-07-06,ARI,@,SDP,3:33,N,,SDP
90,2024-07-07,ARI,@,SDP,2:41,D,,SDP
91,2024-07-08,ARI,,ATL,2:45,N,,ARI
92,2024-07-09,ARI,,ATL,2:46,N,,ARI
93,2024-07-10,ARI,,ATL,2:21,N,,ARI
94,2024-07-11,ARI,,ATL,2:29,N,,ARI
95,2024-07-12,ARI,,TOR,2:39,N,,ARI
96,2024-07-13,ARI,,TOR,2:45,N,,ARI
97,2024-07-14,ARI,,TOR,2:51,D,,ARI
98,2024-07-19,ARI,@,CHC,2:54,D,,CHC
99,2024-07-20,ARI,@,CHC,2:46,N,,CHC
100,2024-07-21,ARI,@,CHC,2:30,D,,CHC
101,2024-07-22,ARI,@,KCR,2:40,N,,KCR
102,2024-07-23,ARI,@,KCR,2:38,N,,KCR
103,2024-07-24,ARI,@,KCR,2:47,N,,KCR
104,2024-07-26,ARI,,PIT,2:36,N,,ARI
105,2024-07-27,ARI,,PIT,2:37,N,,ARI
106,2024-07-28,ARI,,PIT,2:57,D,,ARI
107,2024-07-29,ARI,,WSN,3:00,N,,ARI
108,2024-07-30,ARI,,WSN,2:35,N,,ARI
109,2024-07-31,ARI,,WSN,2:53,D,,ARI
110,2024-08-02,ARI,@,PIT,3:11,N,,PIT
111,2024-08-03,ARI,@,PIT,2:39,N,,PIT
112,2024-08-04,ARI,@,PIT,3:03,D,,PIT
113,2024-08-05,ARI,@,CLE,3:07,N,,CLE
114,2024-08-07,ARI,@,CLE,2:35,D,,CLE
115,2024-08-07,ARI,@,CLE,2:27,D,,CLE
116,2024-08-08,ARI,,PHI,2:47,N,,ARI
117,2024-08-09,ARI,,PHI,2:12,N,,ARI
118,2024-08-10,ARI,,PHI,2:54,N,,ARI
119,2024-08-11,ARI,,PHI,2:44,D,,ARI
120,2024-08-12,ARI,,COL,2:24,N,,ARI
121,2024-08-13,ARI,,COL,2:31,N,,ARI
122,2024-08-14,ARI,,COL,2:59,D,,ARI
123,2024-08-16,ARI,@,TBR,2:37,N,,TBR
124,2024-08-17,ARI,@,TBR,2:37,D,,TBR
125,2024-08-18,ARI,@,TBR,3:46,D,,TBR
126,2024-08-19,ARI,@,MIA,2:42,N,,MIA
127,2024-08-20,ARI,@,MIA,2:22,N,,MIA
128,2024-08-21,ARI,@,MIA,3:18,N,,MIA
129,2024-08-23,ARI,@,BOS,2:40,N,,BOS
130,2024-08-24,ARI,@,BOS,2:44,D,,BOS
131,2024-08-25,ARI,@,BOS,2:30,D,,BOS
132,2024-08-27,ARI,,NYM,2:51,N,,ARI
133,2024-08-28,ARI,,NYM,2:38,N,,ARI
134,2024-08-29,ARI,,NYM,2:21,D,,ARI
135,2024-08-30,ARI,,LAD,3:13,N,,ARI
136,2024-08-31,ARI,,LAD,2:50,N,,ARI
137,2024-09-01,ARI,,LAD,2:38,D,,ARI
138,2024-09-02,ARI,,LAD,3:25,D,,ARI
139,2024-09-03,ARI,@,SFG,2:47,N,,SFG
140,2024-09-04,ARI,@,SFG,2:42,N,,SFG
141,2024-09-05,ARI,@,SFG,2:35,D,,SFG
142,2024-09-06,ARI,@,HOU,2:35,N,,HOU
143,2024-09-07,ARI,@,HOU,2:53,D,,HOU
144,2024-09-08,ARI,@,HOU,3:05,N,,HOU
145,2024-09-10,ARI,,TEX,2:36,N,,ARI
146,2024-09-11,ARI,,TEX,2:47,D,,ARI
147,2024-09-13,ARI,,MIL,2:48,N,,ARI
148,2024-09-14,ARI,,MIL,3:03,N,,ARI
149,2024-09-15,ARI,,MIL,3:50,D,,ARI
150,2024-09-16,ARI,@,COL,2:14,N,,COL
151,2024-09-17,ARI,@,COL,2:42,N,,COL
152,2024-09-18,ARI,@,COL,2:39,D,,COL
153,2024-09-19,ARI,@,MIL,2:37,N,,MIL
154,2024-09-20,ARI,@,MIL,2:56,N,,MIL
155,2024-09-21,ARI,@,MIL,2:42,N,,MIL
156,2024-09-22,ARI,@,MIL,3:34,D,,MIL
157,2024-09-23,ARI,,SFG,2:41,N,,ARI
158,2024-09-24,ARI,,SFG,2:33,N,,ARI
159,2024-09-25,ARI,,SFG,2:44,N,,ARI
160,2024-09-27,ARI,,SDP,2:54,N,,ARI
161,2024-09-28,ARI,,SDP,2:31,N,,ARI
162,2024-09-29,ARI,,SDP,2:41,D,,ARI
