Gm#,Date,boxscore,Tm,@,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
91,Saturday Jul 16,boxscore,ARI,@,SDP,L,3,4,,39-52,5,21.5,Manaea,Ramirez,Rogers,3:02,N,42384,.12,----,
92,Sunday Jul 17,boxscore,ARI,@,SDP,W,3,1,,40-52,5,21.0,Kelly,Clevinger,Melancon,3:20,D,36428,.08,+,
93,Friday Jul 22,boxscore,ARI,,WSN,W,10,1,,41-52,5,21.5,Gallen,Corbin,,2:46,N,17819,.09,++,
94,Saturday Jul 23,boxscore,ARI,,WSN,W,7,2,,42-52,5,21.5,Bumgarner,Sánchez,,2:44,N,37802,.12,+++,
95,Sunday Jul 24,boxscore,ARI,,WSN,L,3,4,,42-53,5,22.5,Edwards,Mantiply,Finnegan,3:44,D,20278,.14,-,
96,Monday Jul 25,boxscore,ARI,,SFG,W,7,0,,43-53,5,21.5,Kelly,Junis,,2:43,N,16100,.14,+,
97,Tuesday Jul 26,boxscore,ARI,,SFG,W,7,3,,44-53,4,20.5,Kennedy,Rodón,,3:10,N,16989,.18,++,
98,Wednesday Jul 27,boxscore,ARI,,SFG,W,5,3,,45-53,4,20.5,Ramirez,Webb,Melancon,3:03,D,17043,.21,+++,
99,Friday Jul 29,boxscore,ARI,@,ATL,L,2,5,,45-54,4,22.0,Wright,Bumgarner,Jansen,2:40,N,41536,.22,-,
100,Saturday Jul 30,boxscore,ARI,@,ATL,L,2,6,,45-55,4,22.0,Anderson,Martin,,2:51,N,41682,.16,--,
101,Sunday Jul 31,boxscore,ARI,@,ATL,L-wo,0,1,,45-56,4,23.0,Jansen,Melancon,,2:52,D,39005,.11,---,
102,Monday Aug 1,boxscore,ARI,@,CLE,L-wo,5,6,11,45-57,4,24.0,Hentges,Melancon,,3:42,N,13707,.09,----,
103,Tuesday Aug 2,boxscore,ARI,@,CLE,W,6,3,,46-57,4,24.0,Gallen,McKenzie,Kennedy,2:50,N,14471,.06,+,
104,Wednesday Aug 3,boxscore,ARI,@,CLE,L,4,7,,46-58,4,25.0,Bieber,Henry,,3:03,D,18642,.08,-,
105,Friday Aug 5,boxscore,ARI,,COL,W,6,5,,47-58,4,25.5,Devenski,Colomé,Kennedy,3:02,N,17720,.05,+,
106,Saturday Aug 6,boxscore,ARI,,COL,L,2,3,,47-59,4,26.5,Estévez,Kennedy,Bard,2:33,N,21146,.07,-,
107,Sunday Aug 7,boxscore,ARI,,COL,W,6,4,,48-59,4,26.5,Devenski,Colomé,Melancon,3:17,D,20644,.04,+,
108,Monday Aug 8,boxscore,ARI,,PIT,W,3,0,,49-59,4,26.0,Gallen,Banuelos,Kennedy,2:36,N,11275,.05,++,
109,Tuesday Aug 9,boxscore,ARI,,PIT,W,6,4,,50-59,4,26.0,Henry,Thompson,Melancon,3:00,N,12901,.08,+++,
110,Wednesday Aug 10,boxscore,ARI,,PIT,L,4,6,,50-60,4,27.0,Keller,Bumgarner,Stout,3:12,N,12714,.06,-,
