Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
59,Saturday Jun 1,boxscore,BOS,,DET,W,6,3,,30-29,3,10.5,Criswell,Olson,,2:23,D,33806,.71,++,
60,Sunday Jun 2,boxscore,BOS,,DET,L,4,8,10,30-30,3,11.5,Chafin,Booser,,3:01,D,34662,.75,-,
61,Tuesday Jun 4,boxscore,BOS,,ATL,L,3,8,,30-31,3,12.5,Fried,Crawford,,2:16,N,34628,.63,--,
62,Wednesday Jun 5,boxscore,BOS,,ATL,W,9,0,,31-31,3,12.5,Pivetta,Schwellenbach,,2:22,D,33760,.58,+,
63,Thursday Jun 6,boxscore,BOS,@,CHW,W,14,2,,32-31,3,12.5,Houck,Woodford,,2:39,N,15568,.62,++,
64,Friday Jun 7,boxscore,BOS,@,CHW,L,2,7,,32-32,3,12.5,Crochet,Criswell,Cannon,2:32,N,19684,.65,-,
65,Saturday Jun 8,boxscore,BOS,@,CHW,L,1,6,,32-33,3,12.5,Banks,Bello,,2:51,D,26248,.63,--,
66,Sunday Jun 9,boxscore,BOS,@,CHW,W,6,4,10,33-33,3,12.5,Jansen,Soroka,Booser,3:22,D,21055,.61,+,
67,Tuesday Jun 11,boxscore,BOS,,PHI,L,1,4,,33-34,3,14.0,Wheeler,Crawford,Alvarado,2:25,N,35004,.59,-,
68,Wednesday Jun 12,boxscore,BOS,,PHI,W,8,6,,34-34,3,14.0,Booser,Ruiz,Jansen,3:04,N,33236,.56,+,
69,Thursday Jun 13,boxscore,BOS,,PHI,W,9,3,,35-34,3,13.0,Houck,Nola,Keller,2:43,N,34007,.60,++,
70,Friday Jun 14,boxscore,BOS,,NYY,L,1,8,,35-35,3,14.0,Gil,Bello,,3:02,N,35024,.69,-,
71,Saturday Jun 15,boxscore,BOS,,NYY,W,8,4,,36-35,3,13.0,Slaten,Rodón,Jansen,3:08,N,36673,.61,+,
72,Sunday Jun 16,boxscore,BOS,,NYY,W,9,3,,37-35,3,12.0,Crawford,Stroman,,3:06,N,36718,.66,++,
73,Monday Jun 17,boxscore,BOS,@,TOR,W,7,3,,38-35,3,11.5,Pivetta,Kikuchi,Jansen,2:43,N,29907,.75,+++,
74,Tuesday Jun 18,boxscore,BOS,@,TOR,W,4,3,,39-35,3,11.5,Kelly,Little,Jansen,2:56,N,38595,.78,++++,
75,Wednesday Jun 19,boxscore,BOS,@,TOR,W,7,3,,40-35,3,10.5,Bello,Gausman,,2:54,N,38906,.82,+++++,
