Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
89,Saturday Jul 6,boxscore,PHI,@,ATL,L,1,5,,58-31,1,up 9.0,Schwellenbach,Suárez,,2:16,N,41006,.67,-,
90,Sunday Jul 7,boxscore,PHI,@,ATL,L,0,6,,58-32,1,up 8.0,López,Mercado,,2:26,D,36808,.76,--,
91,Tuesday Jul 9,boxscore,PHI,,LAD,W,10,1,,59-32,1,up 7.5,Wheeler,Miller,,2:49,N,43065,.80,+,
92,Wednesday Jul 10,boxscore,PHI,,LAD,W,4,3,,60-32,1,up 8.5,Sánchez,Stone,Hoffman,2:30,N,42912,.72,++,
93,Thursday Jul 11,boxscore,PHI,,LAD,W,5,1,,61-32,1,up 9.5,Nola,Banda,,2:43,N,44020,.63,+++,
94,Friday Jul 12,boxscore,PHI,,OAK,L,2,6,,61-33,1,up 8.5,Bido,Suárez,,2:37,N,42570,.46,-,
95,Saturday Jul 13,boxscore,PHI,,OAK,W,11,5,,62-33,1,up 9.5,Phillips,Spence,,2:55,D,44231,.56,+,
96,Sunday Jul 14,boxscore,PHI,,OAK,L,3,18,,62-34,1,up 8.5,Estes,Mercado,,2:35,D,43025,.50,-,
97,Friday Jul 19,boxscore,PHI,@,PIT,L-wo,7,8,,62-35,1,up 8.0,Mlodzinski,Alvarado,,3:03,N,39530,.55,--,
98,Saturday Jul 20,boxscore,PHI,@,PIT,L,1,4,,62-36,1,up 7.5,Ortiz,Sánchez,,2:15,N,39114,.63,---,
99,Sunday Jul 21,boxscore,PHI,@,PIT,W,6,0,,63-36,1,up 8.5,Phillips,Gonzales,,2:41,D,38291,.70,+,
100,Monday Jul 22,boxscore,PHI,@,MIN,L,2,7,,63-37,1,up 8.5,Ober,Suárez,Sands,2:36,N,29904,.58,-,
101,Tuesday Jul 23,boxscore,PHI,@,MIN,W,3,0,,64-37,1,up 9.0,Soto,Durán,Strahm,2:50,N,31272,.66,+,
102,Wednesday Jul 24,boxscore,PHI,@,MIN,L-wo,4,5,,64-38,1,up 9.0,Durán,Soto,,2:59,D,33813,.61,-,
103,Friday Jul 26,boxscore,PHI,,CLE,L,1,3,,64-39,1,up 9.0,Lively,Sánchez,Clase,2:32,N,44448,.67,--,
104,Saturday Jul 27,boxscore,PHI,,CLE,W,8,0,,65-39,1,up 9.5,Phillips,Carrasco,,2:20,N,44356,.71,+,
105,Sunday Jul 28,boxscore,PHI,,CLE,L,3,4,,65-40,1,up 8.5,Herrin,Alvarado,Clase,2:33,D,43845,.64,-,
106,Monday Jul 29,boxscore,PHI,,NYY,L,4,14,,65-41,1,up 8.5,Gil,Wheeler,,2:52,N,44289,.74,--,
107,Tuesday Jul 30,boxscore,PHI,,NYY,L,6,7,12,65-42,1,up 7.5,Tonkin,Kerkering,,3:51,N,44502,.81,---,
108,Wednesday Jul 31,boxscore,PHI,,NYY,L,5,6,,65-43,1,up 6.5,Cortés,Sánchez,Holmes,2:45,D,44543,.91,----,
109,Friday Aug 2,boxscore,PHI,@,SEA,L,2,10,,65-44,1,up 5.0,Woo,Phillips,,2:31,N,40739,1.01,-----,
110,Saturday Aug 3,boxscore,PHI,@,SEA,L-wo,5,6,10,65-45,1,up 5.0,Snider,Estévez,,3:17,N,36629,1.09,------,
111,Sunday Aug 4,boxscore,PHI,@,SEA,W,6,0,,66-45,1,up 6.0,Wheeler,Gilbert,,2:35,D,39588,1.15,+,
112,Monday Aug 5,boxscore,PHI,@,LAD,L,3,5,,66-46,1,up 5.5,Glasnow,Nola,Hudson,2:25,N,48178,1.21,-,
113,Tuesday Aug 6,boxscore,PHI,@,LAD,W,6,2,,67-46,1,up 6.5,Sánchez,Kershaw,,2:52,N,47150,1.27,+,
114,Wednesday Aug 7,boxscore,PHI,@,LAD,W,9,4,,68-46,1,up 7.5,Phillips,Vesia,,2:49,N,45003,1.17,++,
115,Thursday Aug 8,boxscore,PHI,@,ARI,W,6,4,,69-46,1,up 8.0,Allard,Montgomery,Estévez,2:47,N,25239,1.08,+++,
116,Friday Aug 9,boxscore,PHI,@,ARI,L-wo,2,3,,69-47,1,up 8.0,Martinez,Hoffman,,2:12,N,37952,.96,-,
117,Saturday Aug 10,boxscore,PHI,@,ARI,L,1,11,,69-48,1,up 7.5,Ginkel,Nola,,2:54,N,46183,1.08,--,
118,Sunday Aug 11,boxscore,PHI,@,ARI,L,5,12,,69-49,1,up 7.5,Kelly,Sánchez,,2:44,D,29071,1.26,---,
119,Tuesday Aug 13,boxscore,PHI,,MIA,L,0,5,,69-50,1,up 6.0,Bellozo,Walker,,2:22,N,42846,1.15,----,
120,Wednesday Aug 14,boxscore,PHI,,MIA,W,9,5,,70-50,1,up 6.0,Ruiz,Cabrera,,2:50,N,42577,1.25,+,
121,Thursday Aug 15,boxscore,PHI,,WSN,W,13,3,,71-50,1,up 7.0,Wheeler,Parker,,2:37,N,43722,1.25,++,
122,Friday Aug 16,boxscore,PHI,,WSN,W-wo,3,2,,72-50,1,up 8.0,Estévez,Finnegan,,3:01,N,41067,1.11,+++,
123,Saturday Aug 17,boxscore,PHI,,WSN,W,5,1,,73-50,1,up 8.0,Sánchez,Gore,,2:06,N,43356,1.10,++++,
124,Sunday Aug 18,boxscore,PHI,,WSN,L,4,6,,73-51,1,up 7.0,Barnes,Strahm,Finnegan,2:59,D,40677,1.06,-,
125,Tuesday Aug 20,boxscore,PHI,@,ATL,L,1,3,,73-52,1,up 6.0,Holmes,Wheeler,Iglesias,2:34,N,34245,1.41,--,
126,Wednesday Aug 21,boxscore,PHI,@,ATL,W,3,2,,74-52,1,up 7.0,Strahm,Jiménez,Estévez,2:33,N,33221,1.57,+,
127,Thursday Aug 22,boxscore,PHI,@,ATL,L,2,3,,74-53,1,up 6.0,Schwellenbach,Sánchez,Iglesias,2:20,N,34704,1.42,-,
128,Friday Aug 23,boxscore,PHI,@,KCR,L,4,7,,74-54,1,up 5.0,Wacha,Walker,Erceg,2:44,N,25491,1.30,--,
129,Saturday Aug 24,boxscore,PHI,@,KCR,W,11,2,,75-54,1,up 5.0,Suárez,Singer,,2:44,N,27002,1.41,+,
130,Sunday Aug 25,boxscore,PHI,@,KCR,W,11,3,,76-54,1,up 6.0,Allard,Lugo,,2:41,D,18193,1.39,++,
131,Monday Aug 26,boxscore,PHI,,HOU,W-wo,3,2,10,77-54,1,up 6.0,Strahm,Hader,,2:49,N,39627,1.33,+++,
132,Tuesday Aug 27,boxscore,PHI,,HOU,W,5,0,,78-54,1,up 6.0,Nola,Verlander,,2:29,N,39373,1.27,++++,
133,Wednesday Aug 28,boxscore,PHI,,HOU,L,0,10,,78-55,1,up 5.0,Arrighetti,Walker,,2:28,D,37778,1.15,-,
134,Thursday Aug 29,boxscore,PHI,,ATL,W,5,4,,79-55,1,up 6.0,Kerkering,Holmes,Hoffman,2:42,N,40451,1.70,+,
135,Friday Aug 30,boxscore,PHI,,ATL,L,2,7,,79-56,1,up 5.0,López,Suárez,,2:39,N,40193,1.51,-,
136,Saturday Aug 31,boxscore,PHI,,ATL,W,3,0,,80-56,1,up 6.0,Wheeler,Fried,Estévez,2:16,N,42730,1.76,+,
137,Sunday Sep 1,boxscore,PHI,,ATL,W-wo,3,2,11,81-56,1,up 7.0,Estévez,Bummer,,3:14,N,43249,1.57,++,
138,Tuesday Sep 3,boxscore,PHI,@,TOR,W,10,9,,82-56,1,up 7.0,Kerkering,Green,Strahm,3:23,N,23796,1.35,+++,
139,Wednesday Sep 4,boxscore,PHI,@,TOR,W,4,2,,83-56,1,up 7.0,Sánchez,Francis,Estévez,2:30,D,23768,1.22,++++,
140,Thursday Sep 5,boxscore,PHI,@,MIA,W,5,2,,84-56,1,up 8.0,Suárez,Oller,Strahm,2:33,N,9355,1.09,+++++,
141,Friday Sep 6,boxscore,PHI,@,MIA,W,16,2,,85-56,1,up 8.0,Wheeler,Kitchen,,2:57,N,15963,.93,++++++,
142,Saturday Sep 7,boxscore,PHI,@,MIA,L,5,9,,85-57,1,up 7.0,McMillon,Nola,,2:53,D,23189,.70,-,
143,Sunday Sep 8,boxscore,PHI,@,MIA,L,1,10,,85-58,1,up 7.0,Cabrera,Johnson,,2:19,D,15202,.84,--,
144,Monday Sep 9,boxscore,PHI,,TBR,W-wo,2,1,,86-58,1,up 7.0,Estévez,Cleavinger,,2:40,N,39511,.97,+,
145,Tuesday Sep 10,boxscore,PHI,,TBR,W,9,4,,87-58,1,up 8.0,Alvarado,Lovelady,,2:45,N,40088,.77,++,
146,Wednesday Sep 11,boxscore,PHI,,TBR,W,3,2,,88-58,1,up 8.0,Wheeler,Rasmussen,Estévez,2:23,N,40715,.72,+++,
147,Friday Sep 13,boxscore,PHI,,NYM,L,3,11,,88-59,1,up 7.0,Quintana,Nola,,2:50,N,44607,.69,-,
148,Saturday Sep 14,boxscore,PHI,,NYM,W,6,4,,89-59,1,up 8.0,Kerkering,Young,Estévez,2:27,D,44563,.93,+,
149,Sunday Sep 15,boxscore,PHI,,NYM,W-wo,2,1,,90-59,1,up 9.0,Ruiz,Díaz,,2:13,D,44786,.71,++,
150,Monday Sep 16,boxscore,PHI,@,MIL,L,2,6,,90-60,1,up 8.0,Civale,Suárez,Rea,2:48,N,28713,.77,-,
151,Tuesday Sep 17,boxscore,PHI,@,MIL,W,5,1,,91-60,1,up 8.0,Wheeler,Montas,,2:40,N,30059,1.22,+,
152,Wednesday Sep 18,boxscore,PHI,@,MIL,L-wo,1,2,,91-61,1,up 7.0,Williams,Estévez,,2:41,N,30048,.51,-,
153,Thursday Sep 19,boxscore,PHI,@,NYM,L,6,10,,91-62,1,up 6.0,Severino,Walker,,2:36,N,35982,.68,--,
154,Friday Sep 20,boxscore,PHI,@,NYM,W,12,2,,92-62,1,up 7.0,Sánchez,Peterson,,2:57,N,41474,.67,+,
155,Saturday Sep 21,boxscore,PHI,@,NYM,L,3,6,,92-63,1,up 6.0,Manaea,Kerkering,Díaz,2:23,D,44152,.27,-,
156,Sunday Sep 22,boxscore,PHI,@,NYM,L,1,2,,92-64,1,up 5.0,Maton,Wheeler,Díaz,2:30,N,43139,.23,--,
157,Monday Sep 23,boxscore,PHI,,CHC,W,6,2,,93-64,1,up 5.5,Nola,Kilian,,2:34,N,42386,.41,+,
158,Tuesday Sep 24,boxscore,PHI,,CHC,L,4,10,,93-65,1,up 5.5,Smyly,Banks,,2:44,N,42033,.28,-,
159,Wednesday Sep 25,boxscore,PHI,,CHC,W,9,6,,94-65,1,up 6.0,Ruiz,Assad,,2:44,N,42438,.69,+,
160,Friday Sep 27,boxscore,PHI,@,WSN,L,1,9,,94-66,1,up 6.0,Williams,Suárez,,2:32,N,31796,.20,-,
161,Saturday Sep 28,boxscore,PHI,@,WSN,L,3,6,,94-67,1,up 5.0,Ferrer,Hoffman,,2:35,D,38135,.13,--,
162,Sunday Sep 29,boxscore,PHI,@,WSN,W,6,3,,95-67,1,up 6.0,Nola,Irvin,Ruiz,2:40,D,26729,.05,+,
