Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
77,Sunday Jul 3,boxscore,SFG,,CHW,L,4,13,,40-37,3,8.5,Giolito,Hjelle,,3:22,D,30155,.93,----,
78,Monday Jul 4,boxscore,SFG,@,ARI,L,3,8,,40-38,3,9.5,Bumgarner,Rodón,,3:13,D,27752,.91,-----,
79,Tuesday Jul 5,boxscore,SFG,@,ARI,L,2,6,,40-39,3,10.5,Smith,Leone,,3:07,N,14467,.83,------,
80,Wednesday Jul 6,boxscore,SFG,@,ARI,W,7,5,,41-39,3,10.5,Brebbia,Mantiply,Long,3:23,N,13445,.78,+,
81,Thursday Jul 7,boxscore,SFG,@,SDP,L-wo,1,2,10,41-40,3,11.5,Crismatt,García,,3:22,N,42656,.95,-,
82,Friday Jul 8,boxscore,SFG,@,SDP,L,3,6,,41-41,3,12.5,Snell,Long,Martinez,3:16,N,42861,.84,--,
83,Saturday Jul 9,boxscore,SFG,@,SDP,W,3,1,,42-41,3,12.5,Rodón,García,,2:51,D,41714,.76,+,
84,Sunday Jul 10,boxscore,SFG,@,SDP,W,12,0,,43-41,3,12.5,Wood,Gore,,3:06,D,38712,.87,++,
85,Monday Jul 11,boxscore,SFG,,ARI,L,3,4,,43-42,3,13.0,Kelly,Cobb,Melancon,3:46,N,25325,.80,-,
86,Tuesday Jul 12,boxscore,SFG,,ARI,W,13,0,,44-42,3,12.0,Webb,Keuchel,,2:45,N,23353,.77,+,
87,Wednesday Jul 13,boxscore,SFG,,ARI,W-wo,4,3,,45-42,3,12.0,Doval,Melancon,,3:05,D,27055,.82,++,
88,Thursday Jul 14,boxscore,SFG,,MIL,L,2,3,10,45-43,3,13.0,Gott,Doval,Williams,3:52,N,26994,.96,-,
89,Friday Jul 15,boxscore,SFG,,MIL,W-wo,8,5,,46-43,3,13.0,Long,Hader,,3:34,N,28244,.87,+,
90,Saturday Jul 16,boxscore,SFG,,MIL,W,2,1,,47-43,3,13.0,Brebbia,Suter,Leone,2:49,D,41279,.89,++,
91,Sunday Jul 17,boxscore,SFG,,MIL,W,9,5,,48-43,3,12.5,Webb,Ashby,,2:49,D,30584,.90,+++,
92,Thursday Jul 21,boxscore,SFG,@,LAD,L,6,9,,48-44,3,13.5,Phillips,Leone,Kimbrel,3:29,N,53165,.91,-,
93,Friday Jul 22,boxscore,SFG,@,LAD,L,1,5,,48-45,3,14.5,Vesia,Long,,3:04,N,51316,.84,--,
94,Saturday Jul 23,boxscore,SFG,@,LAD,L,2,4,,48-46,3,15.5,Urías,Wood,Price,3:21,D,47749,.81,---,
95,Sunday Jul 24,boxscore,SFG,@,LAD,L,4,7,,48-47,3,16.5,Phillips,Leone,Kimbrel,3:25,D,47505,.73,----,
96,Monday Jul 25,boxscore,SFG,@,ARI,L,0,7,,48-48,3,16.5,Kelly,Junis,,2:43,N,16100,.72,-----,
97,Tuesday Jul 26,boxscore,SFG,@,ARI,L,3,7,,48-49,3,16.5,Kennedy,Rodón,,3:10,N,16989,.69,------,
98,Wednesday Jul 27,boxscore,SFG,@,ARI,L,3,5,,48-50,3,17.5,Ramirez,Webb,Melancon,3:03,D,17043,.64,-------,
99,Thursday Jul 28,boxscore,SFG,,CHC,W,4,2,,49-50,3,17.5,Wood,Steele,Doval,3:00,N,32259,.56,+,
100,Friday Jul 29,boxscore,SFG,,CHC,L,2,4,,49-51,3,18.5,Stroman,Cobb,,3:17,N,30376,.58,-,
101,Saturday Jul 30,boxscore,SFG,,CHC,W,5,4,,50-51,3,17.5,Rogers,Smyly,Leone,3:06,N,40971,.45,+,
102,Sunday Jul 31,boxscore,SFG,,CHC,W,4,0,,51-51,3,17.5,Rodón,Sampson,,2:58,D,33622,.54,++,
103,Monday Aug 1,boxscore,SFG,,LAD,L,2,8,,51-52,3,18.5,Ferguson,Webb,,2:50,N,34865,.54,-,
104,Tuesday Aug 2,boxscore,SFG,,LAD,L,5,9,,51-53,3,19.5,Anderson,Wood,,3:03,N,32798,.46,--,
105,Wednesday Aug 3,boxscore,SFG,,LAD,L,0,3,,51-54,3,20.5,Urías,Cobb,Kimbrel,3:06,N,35400,.41,---,
106,Thursday Aug 4,boxscore,SFG,,LAD,L,3,5,,51-55,3,21.5,Martin,Junis,Kimbrel,3:08,D,34640,.33,----,
107,Saturday Aug 6,boxscore,SFG,@,OAK,W,7,3,,52-55,3,22.0,Rodón,Oller,,3:21,D,40065,.26,+,
108,Sunday Aug 7,boxscore,SFG,@,OAK,W,6,4,,53-55,3,22.0,Webb,Martinez,Doval,3:18,D,31605,.30,++,
109,Monday Aug 8,boxscore,SFG,@,SDP,W,1,0,,54-55,3,21.5,Wood,Snell,Doval,3:15,N,40686,.49,+++,
110,Tuesday Aug 9,boxscore,SFG,@,SDP,L-wo,4,7,,54-56,3,22.5,Hill,Rogers,,3:32,N,38626,.58,-,
111,Wednesday Aug 10,boxscore,SFG,@,SDP,L,7,13,,54-57,3,23.5,Suarez,Marte,,3:32,D,32834,.43,--,
112,Friday Aug 12,boxscore,SFG,,PIT,W,5,3,,55-57,3,23.5,Rodón,Wilson,Doval,3:15,N,33328,.26,+,
113,Saturday Aug 13,boxscore,SFG,,PIT,W,2,0,,56-57,3,23.5,Webb,Beede,Doval,2:45,N,38049,.27,++,
114,Sunday Aug 14,boxscore,SFG,,PIT,W-wo,8,7,,57-57,3,22.5,Doval,Crowe,,3:26,D,36471,.33,+++,
115,Monday Aug 15,boxscore,SFG,,ARI,W,6,1,,58-57,3,22.5,Cobb,Bumgarner,,3:00,N,20694,.37,++++,
116,Tuesday Aug 16,boxscore,SFG,,ARI,W-wo,2,1,,59-57,3,21.5,Brebbia,Kennedy,,2:46,N,20897,.45,+++++,
117,Wednesday Aug 17,boxscore,SFG,,ARI,L,2,3,,59-58,3,22.5,Ramirez,Leone,Melancon,3:07,N,22649,.45,-,
118,Thursday Aug 18,boxscore,SFG,,ARI,L,0,5,,59-59,3,22.5,Gallen,Webb,,2:55,D,26197,.42,--,
119,Friday Aug 19,boxscore,SFG,@,COL,L,4,7,,59-60,3,23.5,Ureña,Wood,Bard,2:56,N,31604,.34,---,
120,Saturday Aug 20,boxscore,SFG,@,COL,L-wo,3,4,10,59-61,3,24.5,Gilbreath,Doval,,3:07,N,35278,.34,----,
121,Sunday Aug 21,boxscore,SFG,@,COL,W,9,8,11,60-61,3,24.5,Leone,Bird,Littell,3:47,D,30682,.29,+,
122,Tuesday Aug 23,boxscore,SFG,@,DET,W,3,1,,61-61,3,24.0,Rodón,Hutchison,Doval,2:52,N,21123,.29,++,
123,Wednesday Aug 24,boxscore,SFG,@,DET,L,1,6,,61-62,3,25.0,Manning,Webb,,2:53,D,17400,.34,-,
124,Friday Aug 26,boxscore,SFG,@,MIN,L,0,9,,61-63,3,26.0,Ryan,Wood,,2:55,N,25246,.33,--,
125,Saturday Aug 27,boxscore,SFG,@,MIN,L-wo,2,3,10,61-64,3,26.0,Durán,Leone,,3:57,N,27570,.25,---,
126,Sunday Aug 28,boxscore,SFG,@,MIN,L,3,8,,61-65,3,27.0,Smeltzer,Junis,,3:27,D,25285,.15,----,
127,Monday Aug 29,boxscore,SFG,,SDP,L,5,6,,61-66,3,28.0,Clevinger,Rodón,Martinez,3:44,N,24815,.14,-----,
128,Tuesday Aug 30,boxscore,SFG,,SDP,L,3,4,,61-67,3,29.0,Snell,Webb,Martinez,3:35,N,28267,.08,------,
129,Wednesday Aug 31,boxscore,SFG,,SDP,L,4,5,,61-68,3,29.0,Musgrove,Wood,Hader,3:13,D,25298,.07,-------,
130,Friday Sep 2,boxscore,SFG,,PHI,W,13,1,,62-68,4,27.5,Cobb,Gibson,,3:05,N,32840,.04,+,
131,Saturday Sep 3,boxscore,SFG,,PHI,W,5,4,,63-68,3,27.5,Littell,Hand,Doval,3:33,D,40010,.05,++,
132,Sunday Sep 4,boxscore,SFG,,PHI,W-wo,5,3,,64-68,3,27.5,Doval,Robertson,,3:10,D,41189,.07,+++,
133,Monday Sep 5,boxscore,SFG,@,LAD,W,7,4,,65-68,3,26.5,Webb,Heaney,Doval,3:01,N,51887,.09,++++,
