Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
146,Wednesday Sep 11,boxscore,CLE,@,CHW,W,6,4,,84-62,1,up 4.5,Sandlin,Martin,Clase,3:00,D,11252,1.11,+++,
147,Thursday Sep 12,boxscore,CLE,,TBR,L,2,5,,84-63,1,up 4.0,Sulser,Williams,Lovelady,2:45,N,19188,.72,-,
148,Friday Sep 13,boxscore,CLE,,TBR,L,1,3,,84-64,1,up 3.0,Littell,Bibee,Uceta,2:21,N,24160,.98,--,
149,Saturday Sep 14,boxscore,CLE,,TBR,W,6,1,,85-64,1,up 3.0,Cantillo,Alexander,,2:16,N,31362,1.31,+,
150,Sunday Sep 15,boxscore,CLE,,TBR,W,2,0,,86-64,1,up 4.0,Lively,Bradley,Clase,2:26,D,21144,1.36,++,
151,Monday Sep 16,boxscore,CLE,,MIN,W,4,3,,87-64,1,up 5.0,Walters,Jax,Clase,2:51,N,17559,1.04,+++,
152,Tuesday Sep 17,boxscore,CLE,,MIN,L,1,4,,87-65,1,up 5.0,Sands,Williams,Jax,2:37,N,17391,.62,-,
153,Wednesday Sep 18,boxscore,CLE,,MIN,W-wo,5,4,10,88-65,1,up 6.0,Gaddis,Henriquez,,2:46,N,19391,.75,+,
154,Thursday Sep 19,boxscore,CLE,,MIN,W-wo,3,2,10,89-65,1,up 6.5,Morgan,Thielbar,,3:04,D,21707,.38,++,
155,Friday Sep 20,boxscore,CLE,@,STL,W,5,1,,90-65,1,up 7.5,Lively,Gibson,Sabrowski,2:22,N,33967,.32,+++,
156,Saturday Sep 21,boxscore,CLE,@,STL,L,5,6,,90-66,1,up 7.5,Mikolas,Boyd,Helsley,2:39,N,41317,.31,-,
157,Sunday Sep 22,boxscore,CLE,@,STL,L,1,2,,90-67,1,up 7.5,Pallante,Herrin,Helsley,2:15,D,39100,.44,--,
158,Tuesday Sep 24,boxscore,CLE,,CIN,W,6,1,,91-67,1,up 7.5,Bibee,Spiers,,2:22,N,19752,.24,+,
159,Wednesday Sep 25,boxscore,CLE,,CIN,W,5,2,,92-67,1,up 7.5,Gaddis,Pagán,Clase,2:12,N,25860,.19,++,
160,Friday Sep 27,boxscore,CLE,,HOU,L,2,5,,92-68,1,up 6.0,Blanco,Cantillo,,3:15,N,34149,.15,-,
161,Saturday Sep 28,boxscore,CLE,,HOU,L,3,4,,92-69,1,up 6.0,Verlander,Lively,Dubin,2:46,N,33609,.15,--,
