Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
84,Saturday Jun 29,boxscore,CHC,@,MIL,W,5,3,,39-45,5,10.5,Little,Payamps,Neris,2:33,D,42238,.41,+,
85,Sunday Jun 30,boxscore,CHC,@,MIL,L,1,7,,39-46,5,11.5,Peralta,Hendricks,,2:21,D,42658,.41,-,
86,Tuesday Jul 2,boxscore,CHC,,PHI,L,4,6,,39-47,5,12.0,Mercado,Wesneski,Hoffman,2:27,N,38670,.37,--,
87,Wednesday Jul 3,boxscore,CHC,,PHI,L,3,5,,39-48,5,13.0,Strahm,Miller,Alvarado,2:43,N,36692,.32,---,
88,Thursday Jul 4,boxscore,CHC,,PHI,W,10,2,,40-48,5,12.0,Taillon,Sánchez,,2:23,D,40143,.26,+,
89,Friday Jul 5,boxscore,CHC,,LAA,W,5,1,,41-48,5,11.0,Steele,Canning,,2:07,D,36948,.27,++,
90,Saturday Jul 6,boxscore,CHC,,LAA,L,0,7,,41-49,5,11.0,Anderson,Hendricks,,2:29,D,36420,.34,-,
91,Sunday Jul 7,boxscore,CHC,,LAA,W,5,0,,42-49,5,11.0,Wesneski,Soriano,Neris,2:18,D,34355,.30,+,
92,Tuesday Jul 9,boxscore,CHC,@,BAL,W,9,2,,43-49,5,10.0,Taillon,Kremer,,2:39,N,30373,.34,++,
93,Wednesday Jul 10,boxscore,CHC,@,BAL,W,4,0,,44-49,4,10.0,Imanaga,Burnes,,2:45,N,20694,.39,+++,
94,Thursday Jul 11,boxscore,CHC,@,BAL,W,8,0,,45-49,4,9.0,Steele,Suárez,,2:13,N,22685,.48,++++,
95,Friday Jul 12,boxscore,CHC,@,STL,W,5,1,,46-49,4,8.0,Hendricks,Gray,Neris,2:56,N,40667,.65,+++++,
96,Saturday Jul 13 (1),boxscore,CHC,@,STL,L,3,11,,46-50,5,8.5,Lynn,Wesneski,,2:27,D,39129,.72,-,
97,Saturday Jul 13 (2),boxscore,CHC,@,STL,L,4,5,,46-51,5,8.5,Romero,Hodge,Helsley,2:41,N,43827,.62,--,
98,Sunday Jul 14,boxscore,CHC,@,STL,W,8,3,,47-51,5,8.5,Taillon,Mikolas,,2:20,D,39314,.51,+,
99,Friday Jul 19,boxscore,CHC,,ARI,L,2,5,,47-52,5,9.0,Nelson,Steele,Sewald,2:54,D,40691,.59,-,
100,Saturday Jul 20,boxscore,CHC,,ARI,L,0,3,,47-53,5,10.0,Gallen,Hendricks,Sewald,2:46,N,39595,.52,--,
101,Sunday Jul 21,boxscore,CHC,,ARI,W-wo,2,1,10,48-53,4,10.0,Neris,Mantiply,,2:30,D,39162,.39,+,
102,Monday Jul 22,boxscore,CHC,,MIL,W,3,1,,49-53,4,9.0,Smyly,Myers,Neris,2:30,N,35741,.44,++,
103,Tuesday Jul 23,boxscore,CHC,,MIL,L,0,1,,49-54,4,10.0,Peguero,Taillon,Megill,2:37,N,37651,.51,-,
104,Wednesday Jul 24,boxscore,CHC,,MIL,L,2,3,,49-55,5,11.0,Junis,Neris,Payamps,2:34,D,37679,.39,--,
105,Friday Jul 26,boxscore,CHC,@,KCR,L,0,6,,49-56,5,11.0,Singer,Hendricks,,2:15,N,36351,.27,---,
106,Saturday Jul 27,boxscore,CHC,@,KCR,W,9,4,,50-56,5,10.0,Merryweather,Lugo,,2:39,N,31784,.23,+,
107,Sunday Jul 28,boxscore,CHC,@,KCR,W,7,3,,51-56,4,10.0,Assad,Ragans,,2:41,D,24839,.29,++,
108,Monday Jul 29,boxscore,CHC,@,CIN,L,1,7,,51-57,5,11.0,Spiers,Taillon,,2:25,N,21837,.35,-,
109,Tuesday Jul 30,boxscore,CHC,@,CIN,L,3,6,,51-58,5,11.0,Martinez,Steele,Díaz,2:45,N,25678,.26,--,
110,Wednesday Jul 31,boxscore,CHC,@,CIN,W,13,4,,52-58,5,10.0,Hendricks,Lodolo,,2:39,N,20733,.22,+,
111,Thursday Aug 1,boxscore,CHC,,STL,W-wo,5,4,,53-58,5,9.5,Pearson,Helsley,,2:35,N,37969,.25,++,
112,Friday Aug 2,boxscore,CHC,,STL,W,6,3,,54-58,4,9.5,Miller,Fedde,Neris,2:42,D,37613,.29,+++,
113,Saturday Aug 3,boxscore,CHC,,STL,L,4,5,,54-59,5,9.5,Romero,Neris,Helsley,2:21,D,40073,.37,-,
114,Sunday Aug 4,boxscore,CHC,,STL,W,6,2,,55-59,4,8.5,Steele,Mikolas,,2:30,N,34593,.29,+,
115,Monday Aug 5,boxscore,CHC,,MIN,L,0,3,,55-60,5,9.0,Festa,Hendricks,Jax,2:16,N,35382,.33,-,
116,Tuesday Aug 6,boxscore,CHC,,MIN,W,7,3,,56-60,5,9.0,Imanaga,López,,2:18,N,36653,.24,+,
117,Wednesday Aug 7,boxscore,CHC,,MIN,W,8,2,,57-60,4,9.0,López,Richards,,2:44,D,35059,.29,++,
118,Friday Aug 9,boxscore,CHC,@,CHW,W,7,6,,58-60,3,9.5,Taillon,Crochet,Neris,2:51,N,38127,.30,+++,
119,Saturday Aug 10,boxscore,CHC,@,CHW,W,3,1,,59-60,3,9.5,Hodge,Kuhl,Neris,2:56,N,38341,.35,++++,
120,Monday Aug 12,boxscore,CHC,@,CLE,L,8,9,,59-61,3,9.0,Sandlin,Merryweather,Clase,2:52,N,25619,.44,-,
121,Tuesday Aug 13,boxscore,CHC,@,CLE,L,1,2,,59-62,4,9.0,Avila,Smyly,Clase,2:32,N,29090,.38,--,
122,Wednesday Aug 14,boxscore,CHC,@,CLE,L,1,6,,59-63,4,10.0,Cobb,Taillon,,2:24,N,30243,.29,---,
123,Friday Aug 16,boxscore,CHC,,TOR,W-wo,6,5,10,60-63,4,10.5,Miller,Green,,2:53,D,39614,.21,+,
