Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
68,Wednesday Jun 12,boxscore,ARI,,LAA,L,3,8,,32-36,4,9.5,Soriano,Cecconi,,2:42,N,19691,.75,-,
69,Thursday Jun 13,boxscore,ARI,,LAA,W,11,1,,33-36,4,8.5,Pfaadt,Canning,,2:36,N,18185,.69,+,
70,Friday Jun 14,boxscore,ARI,,CHW,W,7,1,,34-36,3,8.5,Nelson,Flexen,,2:19,N,23700,.76,++,
71,Saturday Jun 15,boxscore,ARI,,CHW,L,2,9,,34-37,3,8.5,Fedde,Vieira,,2:57,N,38494,.77,-,
72,Sunday Jun 16,boxscore,ARI,,CHW,W,12,5,,35-37,3,8.5,Montgomery,Thorpe,,2:49,D,37694,.73,+,
73,Tuesday Jun 18,boxscore,ARI,@,WSN,W,5,0,,36-37,2,9.0,Cecconi,Irvin,,2:19,N,28230,.84,++,
74,Wednesday Jun 19,boxscore,ARI,@,WSN,L,1,3,,36-38,2,9.0,Law,Pfaadt,Finnegan,2:15,D,20853,.88,-,
75,Thursday Jun 20,boxscore,ARI,@,WSN,W,5,2,,37-38,2,9.0,Nelson,Gore,Sewald,2:17,D,21158,.85,+,
76,Friday Jun 21,boxscore,ARI,@,PHI,W,5,4,,38-38,2,8.0,Montgomery,Walker,Sewald,2:57,N,44436,.83,++,
77,Saturday Jun 22,boxscore,ARI,@,PHI,L,1,12,,38-39,3,9.0,Wheeler,Henry,,2:23,D,44288,.95,-,
78,Sunday Jun 23,boxscore,ARI,@,PHI,L,1,4,,38-40,3,9.5,Sánchez,Cecconi,,2:36,D,44079,.88,--,
79,Tuesday Jun 25,boxscore,ARI,,MIN,W,5,4,,39-40,3,10.0,Ginkel,Alcalá,Sewald,2:09,N,21485,.76,+,
80,Wednesday Jun 26,boxscore,ARI,,MIN,L,3,8,,39-41,3,11.0,Woods Richardson,Nelson,,2:37,N,16396,.78,-,
81,Thursday Jun 27,boxscore,ARI,,MIN,L,6,13,,39-42,3,11.5,Festa,Montgomery,,2:56,D,22671,.69,--,
82,Friday Jun 28,boxscore,ARI,,OAK,L,4,9,,39-43,4,11.5,Alexander,Thompson,,2:57,N,25846,.65,---,
83,Saturday Jun 29,boxscore,ARI,,OAK,W,3,0,,40-43,3,11.5,Gallen,Harris,Sewald,2:13,D,39843,.57,+,
84,Sunday Jun 30,boxscore,ARI,,OAK,W,5,1,,41-43,3,10.5,Mantiply,McFarland,,2:21,D,26413,.54,++,
85,Tuesday Jul 2,boxscore,ARI,@,LAD,L-wo,5,6,,41-44,4,11.5,Phillips,Sewald,,2:44,N,52931,.76,-,
86,Wednesday Jul 3,boxscore,ARI,@,LAD,W,12,4,,42-44,3,10.5,Jarvis,Yarbrough,,3:23,N,47965,.69,+,
87,Thursday Jul 4,boxscore,ARI,@,LAD,W,9,3,,43-44,3,9.5,Martinez,Knack,,2:48,N,52320,.74,++,
88,Friday Jul 5,boxscore,ARI,@,SDP,L-wo,8,10,,43-45,4,10.5,Kolek,Sewald,,2:58,N,47171,.88,-,
89,Saturday Jul 6,boxscore,ARI,@,SDP,W,7,5,10,44-45,3,10.5,Thompson,Peralta,Castellanos,3:33,N,44761,.77,+,
90,Sunday Jul 7,boxscore,ARI,@,SDP,W,9,1,,45-45,3,9.5,Nelson,Cease,,2:41,D,41112,.89,++,
91,Monday Jul 8,boxscore,ARI,,ATL,L,4,5,11,45-46,3,10.0,Iglesias,Martinez,Jiménez,2:45,N,20594,.93,-,
92,Tuesday Jul 9,boxscore,ARI,,ATL,L,2,6,,45-47,3,10.0,Sale,Gallen,,2:46,N,21652,.86,--,
93,Wednesday Jul 10,boxscore,ARI,,ATL,W,7,5,,46-47,3,9.0,Thompson,Jiménez,Sewald,2:21,N,18020,.79,+,
94,Thursday Jul 11,boxscore,ARI,,ATL,W,1,0,,47-47,3,8.0,Pfaadt,Fried,Sewald,2:29,N,27101,.89,++,
95,Friday Jul 12,boxscore,ARI,,TOR,W-wo,5,4,,48-47,2,8.0,Martinez,Green,,2:39,N,24441,.90,+++,
96,Saturday Jul 13,boxscore,ARI,,TOR,W,12,1,,49-47,2,7.0,Díaz,Berríos,,2:45,N,40121,.95,++++,
97,Sunday Jul 14,boxscore,ARI,,TOR,L,7,8,,49-48,2,7.0,Richards,Ginkel,Green,2:51,D,24732,1.02,-,
98,Friday Jul 19,boxscore,ARI,@,CHC,W,5,2,,50-48,2,7.0,Nelson,Steele,Sewald,2:54,D,40691,1.05,+,
99,Saturday Jul 20,boxscore,ARI,@,CHC,W,3,0,,51-48,2,7.0,Gallen,Hendricks,Sewald,2:46,N,39595,1.12,++,
100,Sunday Jul 21,boxscore,ARI,@,CHC,L-wo,1,2,10,51-49,2,8.0,Neris,Mantiply,,2:30,D,39162,1.14,-,
101,Monday Jul 22,boxscore,ARI,@,KCR,L,4,10,,51-50,3,9.0,Ragans,Díaz,,2:40,N,16275,.98,--,
102,Tuesday Jul 23,boxscore,ARI,@,KCR,W,6,2,,52-50,3,9.0,Montgomery,Marsh,,2:38,N,21993,.93,+,
103,Wednesday Jul 24,boxscore,ARI,@,KCR,W,8,6,,53-50,3,8.0,Mantiply,McArthur,,2:47,N,15931,.99,++,
104,Friday Jul 26,boxscore,ARI,,PIT,W,4,3,,54-50,3,7.5,Gallen,Mlodzinski,Sewald,2:36,N,31255,1.15,+++,
105,Saturday Jul 27,boxscore,ARI,,PIT,W,9,5,,55-50,3,6.5,Pfaadt,Priester,,2:37,N,35905,1.24,++++,
106,Sunday Jul 28,boxscore,ARI,,PIT,L,5,6,10,55-51,3,7.5,Chapman,Martinez,,2:57,D,27162,1.27,-,
107,Monday Jul 29,boxscore,ARI,,WSN,W-wo,9,8,,56-51,3,7.0,Mantiply,Finnegan,,3:00,N,18790,1.18,+,
108,Tuesday Jul 30,boxscore,ARI,,WSN,W,17,0,,57-51,3,6.0,Nelson,Corbin,,2:35,N,19758,1.19,++,
109,Wednesday Jul 31,boxscore,ARI,,WSN,W,5,4,,58-51,3,5.0,Gallen,Gore,Thompson,2:53,D,18294,1.27,+++,
110,Friday Aug 2,boxscore,ARI,@,PIT,W,9,8,,59-51,2,4.0,Floro,Holderman,Thompson,3:11,N,22834,1.46,++++,
111,Saturday Aug 3,boxscore,ARI,@,PIT,L,2,4,,59-52,3,5.0,Nicolas,Cecconi,Bednar,2:39,N,35515,1.55,-,
112,Sunday Aug 4,boxscore,ARI,@,PIT,W,6,5,,60-52,3,5.0,Sewald,Holderman,Puk,3:03,D,32624,1.51,+,
113,Monday Aug 5,boxscore,ARI,@,CLE,W,7,6,10,61-52,2,5.0,Thompson,Clase,Martinez,3:07,N,19570,1.42,++,
114,Wednesday Aug 7 (1),boxscore,ARI,@,CLE,W,7,3,,62-52,2,3.0,Pfaadt,Lively,,2:35,D,,1.42,+++,
115,Wednesday Aug 7 (2),boxscore,ARI,@,CLE,W,5,3,,63-52,2,3.0,Rodríguez,Carrasco,Martinez,2:27,D,26739,1.41,++++,
116,Thursday Aug 8,boxscore,ARI,,PHI,L,4,6,,63-53,3,3.5,Allard,Montgomery,Estévez,2:47,N,25239,1.53,-,
117,Friday Aug 9,boxscore,ARI,,PHI,W-wo,3,2,,64-53,3,3.5,Martinez,Hoffman,,2:12,N,37952,1.50,+,
118,Saturday Aug 10,boxscore,ARI,,PHI,W,11,1,,65-53,3,3.5,Ginkel,Nola,,2:54,N,46183,1.52,++,
119,Sunday Aug 11,boxscore,ARI,,PHI,W,12,5,,66-53,2,3.5,Kelly,Sánchez,,2:44,D,29071,1.51,+++,
120,Monday Aug 12,boxscore,ARI,,COL,W,5,4,,67-53,2,3.5,Pfaadt,Molina,Martinez,2:24,N,15525,1.39,++++,
121,Tuesday Aug 13,boxscore,ARI,,COL,W-wo,4,3,,68-53,2,3.5,Mantiply,Vodnik,,2:31,N,19731,1.34,+++++,
122,Wednesday Aug 14,boxscore,ARI,,COL,W,11,4,,69-53,2,2.5,Montgomery,Gordon,,2:59,D,16464,1.24,++++++,
123,Friday Aug 16,boxscore,ARI,@,TBR,L-wo,4,5,,69-54,2,3.0,Fairbanks,Martinez,,2:37,N,21613,1.30,-,
124,Saturday Aug 17,boxscore,ARI,@,TBR,L,1,6,,69-55,3,3.0,Springs,Gallen,Lovelady,2:37,D,17708,1.25,--,
125,Sunday Aug 18,boxscore,ARI,@,TBR,L-wo,7,8,12,69-56,3,4.0,Uceta,Martinez,,3:46,D,18636,1.29,---,
126,Monday Aug 19,boxscore,ARI,@,MIA,W,9,6,,70-56,3,4.0,Pfaadt,Oller,,2:42,N,7318,1.26,+,
127,Tuesday Aug 20,boxscore,ARI,@,MIA,W,3,1,,71-56,3,4.0,Rodríguez,Cabrera,Martinez,2:22,N,6794,1.23,++,
128,Wednesday Aug 21,boxscore,ARI,@,MIA,W,10,8,,72-56,2,4.0,Floro,Nardi,Martinez,3:18,N,8248,1.19,+++,
129,Friday Aug 23,boxscore,ARI,@,BOS,W,12,2,,73-56,2,4.0,Nelson,Bello,,2:40,N,32016,1.22,++++,
130,Saturday Aug 24,boxscore,ARI,@,BOS,W,4,1,,74-56,2,3.0,Gallen,Crawford,,2:44,D,35528,1.16,+++++,
131,Sunday Aug 25,boxscore,ARI,@,BOS,W,7,5,,75-56,2,3.0,Kelly,Houck,Martinez,2:30,D,31453,1.29,++++++,
132,Tuesday Aug 27,boxscore,ARI,,NYM,L,3,8,,75-57,2,3.0,Manaea,Pfaadt,,2:51,N,22575,1.31,-,
133,Wednesday Aug 28,boxscore,ARI,,NYM,W,8,5,,76-57,2,3.0,Thompson,Díaz,Martinez,2:38,N,27059,1.41,+,
134,Thursday Aug 29,boxscore,ARI,,NYM,L,2,3,,76-58,2,4.0,Buttó,Martinez,Díaz,2:21,D,18425,1.39,-,
135,Friday Aug 30,boxscore,ARI,,LAD,L,9,10,,76-59,2,5.0,Brasier,Floro,,3:13,N,46606,1.60,--,
136,Saturday Aug 31,boxscore,ARI,,LAD,L,6,8,,76-60,2,6.0,Casparius,Thompson,Phillips,2:50,N,50041,1.35,---,
137,Sunday Sep 1,boxscore,ARI,,LAD,W,14,3,,77-60,2,5.0,Pfaadt,Wrobleski,,2:38,D,46278,1.29,+,
138,Monday Sep 2,boxscore,ARI,,LAD,L,6,11,,77-61,3,6.0,Flaherty,Rodríguez,,3:25,D,43747,1.30,-,
139,Tuesday Sep 3,boxscore,ARI,@,SFG,W,8,7,,78-61,3,6.0,Nelson,Harrison,Martinez,2:47,N,23545,1.08,+,
140,Wednesday Sep 4,boxscore,ARI,@,SFG,W,6,4,,79-61,3,5.0,Gallen,Birdsong,,2:42,N,22855,1.01,++,
141,Thursday Sep 5,boxscore,ARI,@,SFG,L-wo,2,3,,79-62,3,5.5,Walker,Ginkel,,2:35,D,27871,1.09,-,
142,Friday Sep 6,boxscore,ARI,@,HOU,L,0,8,,79-63,3,5.5,Valdez,Pfaadt,,2:35,N,34218,1.08,--,
143,Saturday Sep 7,boxscore,ARI,@,HOU,L,5,11,,79-64,3,6.5,Kikuchi,Rodríguez,,2:53,D,35739,1.33,---,
144,Sunday Sep 8,boxscore,ARI,@,HOU,W,12,6,,80-64,3,6.5,Ginkel,Verlander,,3:05,N,34154,1.31,+,
145,Tuesday Sep 10,boxscore,ARI,,TEX,W,6,0,,81-64,3,5.0,Gallen,Eovaldi,,2:36,N,25499,1.25,++,
146,Wednesday Sep 11,boxscore,ARI,,TEX,W,14,4,,82-64,2,5.0,Floro,Bradford,Montgomery,2:47,D,20473,1.23,+++,
147,Friday Sep 13,boxscore,ARI,,MIL,L,1,2,,82-65,3,5.0,Peralta,Rodríguez,Williams,2:48,N,31033,1.14,-,
