Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
80,Saturday Jul 2,boxscore,LAA,@,HOU,L,1,9,,37-43,4,14.5,Urquidy,Sandoval,,2:51,D,35332,.48,--,
81,Sunday Jul 3,boxscore,LAA,@,HOU,L-wo,2,4,,37-44,4,15.5,Pressly,Tepera,,3:23,D,36048,.41,---,
82,Tuesday Jul 5,boxscore,LAA,@,MIA,L,1,2,,37-45,4,17.0,Alcantara,Syndergaard,Scott,2:47,N,13338,.32,----,
83,Wednesday Jul 6,boxscore,LAA,@,MIA,W,5,2,,38-45,4,16.0,Ohtani,Rogers,,3:07,N,18741,.29,+,
84,Thursday Jul 7,boxscore,LAA,@,BAL,L,1,4,,38-46,4,17.0,Lyles,Silseth,López,3:00,N,13088,.37,-,
85,Friday Jul 8,boxscore,LAA,@,BAL,L-wo,4,5,,38-47,4,18.0,Tate,Iglesias,,3:30,N,27814,.32,--,
86,Saturday Jul 9,boxscore,LAA,@,BAL,L,0,1,,38-48,4,18.0,Kremer,Sandoval,López,2:59,D,32286,.29,---,
87,Sunday Jul 10,boxscore,LAA,@,BAL,L,5,9,,38-49,4,19.0,Voth,Suarez,,2:48,D,19521,.25,----,
88,Tuesday Jul 12,boxscore,LAA,,HOU,L,5,6,,38-50,4,20.0,Neris,Iglesias,Pressly,3:37,N,27180,.17,-----,
89,Wednesday Jul 13,boxscore,LAA,,HOU,W,7,1,,39-50,4,19.0,Ohtani,Javier,,3:45,N,27803,.14,+,
90,Thursday Jul 14,boxscore,LAA,,HOU,L,2,3,10,39-51,4,20.0,Pressly,Loup,,3:28,N,34496,.14,-,
91,Friday Jul 15,boxscore,LAA,,LAD,L,1,9,,39-52,4,20.0,Kershaw,Sandoval,,3:01,N,44648,.12,--,
92,Saturday Jul 16,boxscore,LAA,,LAD,L,1,7,,39-53,4,21.0,Urías,Suarez,,3:07,N,44728,.08,---,
93,Friday Jul 22,boxscore,LAA,@,ATL,L,1,8,,39-54,4,22.5,Lee,Ohtani,,2:59,N,42867,.05,----,
94,Saturday Jul 23,boxscore,LAA,@,ATL,L,2,7,,39-55,4,23.5,Wright,Sandoval,,3:01,N,42827,.04,-----,
95,Sunday Jul 24,boxscore,LAA,@,ATL,W,9,1,,40-55,4,23.5,Detmers,Anderson,,3:17,D,42663,.03,+,
96,Monday Jul 25,boxscore,LAA,@,KCR,L,0,7,,40-56,4,23.5,Garrett,Syndergaard,,3:03,N,16616,.05,-,
97,Tuesday Jul 26,boxscore,LAA,@,KCR,W,6,0,,41-56,4,22.5,Suarez,Zerpa,,3:24,N,20834,.04,+,
98,Wednesday Jul 27,boxscore,LAA,@,KCR,W,4,0,,42-56,4,21.5,Junk,Keller,,2:48,D,12596,.05,++,
99,Thursday Jul 28,boxscore,LAA,,TEX,L,0,2,,42-57,4,22.5,Howard,Ohtani,Moore,2:47,N,29718,.06,-,
100,Friday Jul 29,boxscore,LAA,,TEX,L,2,7,,42-58,4,23.5,Pérez,Sandoval,,3:13,N,29906,.04,--,
101,Saturday Jul 30,boxscore,LAA,,TEX,W,9,7,,43-58,4,22.5,Toussaint,Martin,Iglesias,3:04,N,32968,.04,+,
102,Sunday Jul 31,boxscore,LAA,,TEX,L,2,5,,43-59,4,23.5,Burke,Quijada,Hernández,2:56,D,29257,.04,-,
103,Tuesday Aug 2,boxscore,LAA,,OAK,W,3,1,,44-59,4,22.0,Suarez,Irvin,Quijada,2:33,N,22920,.03,+,
104,Wednesday Aug 3,boxscore,LAA,,OAK,L,1,3,,44-60,4,23.0,Kaprielian,Ohtani,Jackson,3:08,N,25190,.03,-,
105,Thursday Aug 4,boxscore,LAA,,OAK,L,7,8,,44-61,4,24.0,Blackburn,Junk,Puk,3:27,D,23849,.02,--,
106,Friday Aug 5,boxscore,LAA,@,SEA,W,4,3,10,45-61,4,24.0,Chavez,Sewald,Herget,3:36,N,42654,.02,+,
107,Saturday Aug 6 (1),boxscore,LAA,@,SEA,L,1,2,,45-62,4,23.5,Kirby,Barria,Swanson,2:48,D,41507,.02,-,
108,Saturday Aug 6 (2),boxscore,LAA,@,SEA,W,7,1,,46-62,4,23.5,Detmers,Flexen,,2:47,N,27065,.02,+,
109,Sunday Aug 7,boxscore,LAA,@,SEA,L,3,6,,46-63,4,23.5,Gonzales,Davidson,Sewald,2:54,D,34837,.02,-,
110,Monday Aug 8,boxscore,LAA,@,OAK,W,1,0,,47-63,4,23.0,Suarez,Irvin,Tepera,2:14,N,5440,.01,+,
111,Tuesday Aug 9,boxscore,LAA,@,OAK,W,5,1,,48-63,4,23.0,Ohtani,Kaprielian,,3:15,N,9351,.02,++,
112,Wednesday Aug 10,boxscore,LAA,@,OAK,W,5,4,12,49-63,4,22.0,Barria,Pruitt,,3:45,D,8268,.02,+++,
113,Friday Aug 12,boxscore,LAA,,MIN,L,0,4,,49-64,4,23.5,Mahle,Sandoval,,2:56,N,33459,.03,-,
114,Saturday Aug 13,boxscore,LAA,,MIN,W-wo,5,3,11,50-64,4,23.5,Tepera,Pagán,,3:46,N,43027,.02,+,
115,Sunday Aug 14,boxscore,LAA,,MIN,W,4,2,,51-64,4,23.5,Davidson,Archer,Quijada,2:45,D,27515,.03,++,
116,Monday Aug 15,boxscore,LAA,,SEA,L,2,6,,51-65,4,23.5,Muñoz,Loup,,3:26,N,23096,.04,-,
117,Tuesday Aug 16,boxscore,LAA,,SEA,L,2,8,,51-66,4,23.5,Ray,Suarez,,3:04,N,20294,.02,--,
118,Wednesday Aug 17,boxscore,LAA,,SEA,L,7,11,,51-67,4,24.5,Kirby,Toussaint,,3:14,D,19550,.01,---,
119,Friday Aug 19,boxscore,LAA,@,DET,W,1,0,,52-67,4,24.0,Sandoval,Manning,,2:15,N,28197,.00,+,
120,Saturday Aug 20,boxscore,LAA,@,DET,L,3,4,,52-68,4,24.0,Alexander,Detmers,Soto,2:40,D,23581,.01,-,
121,Sunday Aug 21,boxscore,LAA,@,DET,L,0,4,,52-69,4,25.0,Rodríguez,Ohtani,,2:56,D,23064,.01,--,
122,Monday Aug 22,boxscore,LAA,@,TBR,L,1,2,,52-70,4,25.5,Springs,Davidson,Armstrong,3:00,N,9942,.00,---,
123,Tuesday Aug 23,boxscore,LAA,@,TBR,L,1,11,,52-71,4,26.5,Kluber,Suarez,,2:57,N,8810,.00,----,
124,Wednesday Aug 24,boxscore,LAA,@,TBR,L-wo,3,4,11,52-72,4,27.5,Chargois,Barria,,3:40,N,9763,.00,-----,
125,Thursday Aug 25,boxscore,LAA,@,TBR,L,3,8,,52-73,4,28.5,Rasmussen,Sandoval,,3:00,D,10733,.00,------,
126,Friday Aug 26,boxscore,LAA,@,TOR,W,12,0,,53-73,4,27.5,Detmers,White,,3:20,N,40754,.00,+,
127,Saturday Aug 27,boxscore,LAA,@,TOR,W,2,0,,54-73,4,26.5,Ohtani,Manoah,Herget,3:20,D,45311,.00,++,
128,Sunday Aug 28,boxscore,LAA,@,TOR,W,8,3,,55-73,4,26.5,Wantz,Stripling,,3:16,D,44318,.00,+++,
129,Monday Aug 29,boxscore,LAA,,NYY,W,4,3,,56-73,4,26.0,Suarez,Montas,Herget,3:00,N,44537,.00,++++,
130,Tuesday Aug 30,boxscore,LAA,,NYY,L,4,7,,56-74,4,27.0,Weissert,Mayers,,2:59,N,42684,.00,-,
131,Wednesday Aug 31,boxscore,LAA,,NYY,W,3,2,,57-74,4,27.0,Sandoval,Cole,Herget,2:43,N,43555,.00,+,
132,Friday Sep 2,boxscore,LAA,,HOU,L,2,4,,57-75,4,28.0,McCullers,Detmers,Montero,3:09,N,22464,.00,-,
133,Saturday Sep 3,boxscore,LAA,,HOU,W-wo,2,1,12,58-75,4,27.0,Tepera,Smith,,4:11,N,38244,.00,+,
134,Sunday Sep 4,boxscore,LAA,,HOU,L,1,9,,58-76,4,28.0,Urquidy,Davidson,,2:43,D,28179,.00,-,
135,Monday Sep 5,boxscore,LAA,,DET,W,10,0,,59-76,3,28.0,Suarez,Alexander,,2:53,N,19518,.00,+,
136,Tuesday Sep 6,boxscore,LAA,,DET,W-wo,5,4,10,60-76,3,27.0,Tepera,Chafin,,3:01,N,20002,.00,++,
