Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
61,Sunday Jun 2,boxscore,OAK,@,ATL,L,1,3,,24-37,4,10.0,Lee,Adams,Iglesias,2:28,D,37853,.27,-,
62,Tuesday Jun 4,boxscore,OAK,,SEA,L,3,4,,24-38,4,11.0,Kirby,Spence,Saucedo,2:48,N,5624,.25,--,
63,Wednesday Jun 5,boxscore,OAK,,SEA,W,2,1,,25-38,4,10.0,Estes,Gilbert,Miller,2:14,N,9735,.22,+,
64,Thursday Jun 6,boxscore,OAK,,SEA,L,0,3,,25-39,4,11.0,Woo,Sears,Stanek,2:35,D,6571,.23,-,
65,Friday Jun 7,boxscore,OAK,,TOR,W-wo,2,1,,26-39,4,10.0,Miller,Green,,2:07,N,16046,.16,+,
66,Saturday Jun 8,boxscore,OAK,,TOR,L,0,7,,26-40,4,10.0,Gausman,Medina,,2:27,D,9285,.18,-,
67,Sunday Jun 9,boxscore,OAK,,TOR,L,4,6,10,26-41,4,11.0,García,Adams,Cabrera,2:32,D,11276,.17,--,
68,Monday Jun 10,boxscore,OAK,@,SDP,L,1,6,,26-42,5,12.0,Cease,Estes,,2:52,N,38822,.13,---,
69,Tuesday Jun 11,boxscore,OAK,@,SDP,L-wo,3,4,,26-43,5,13.0,Suarez,Alexander,,2:40,N,41945,.11,----,
70,Wednesday Jun 12,boxscore,OAK,@,SDP,L-wo,4,5,,26-44,5,14.0,Suarez,Miller,,2:43,D,35688,.08,-----,
71,Thursday Jun 13,boxscore,OAK,@,MIN,L,2,6,,26-45,5,14.0,Ryan,Medina,,2:23,N,23229,.08,------,
72,Friday Jun 14,boxscore,OAK,@,MIN,L-wo,5,6,10,26-46,5,15.0,Durán,Alexander,,2:52,N,35631,.06,-------,
73,Sunday Jun 16 (1),boxscore,OAK,@,MIN,L,2,6,,26-47,5,17.0,Ober,Sears,Durán,2:43,D,33835,.04,--------,2024-06-15 (MIN04)
74,Sunday Jun 16 (2),boxscore,OAK,@,MIN,L,7,8,,26-48,5,17.0,Staumont,Jiménez,Jax,2:41,N,20787,.03,---------,
75,Tuesday Jun 18,boxscore,OAK,,KCR,W,7,5,,27-48,5,17.0,Harris,Marsh,Miller,2:31,N,7013,.02,+,
76,Wednesday Jun 19,boxscore,OAK,,KCR,W,5,1,,28-48,5,16.0,Medina,Ragans,,2:35,N,4557,.03,++,
77,Thursday Jun 20,boxscore,OAK,,KCR,L,2,3,,28-49,5,16.0,McArthur,Nittoli,Stratton,2:23,D,8753,.03,-,
78,Friday Jun 21,boxscore,OAK,,MIN,W,6,5,,29-49,5,15.0,Newcomb,Durán,Miller,2:20,N,9158,.02,+,
79,Saturday Jun 22,boxscore,OAK,,MIN,L,2,10,,29-50,5,16.0,Ober,Sears,,2:30,D,9299,.04,-,
80,Sunday Jun 23,boxscore,OAK,,MIN,L,0,3,,29-51,5,16.0,López,Harris,Jax,2:11,D,18491,.03,--,
81,Monday Jun 24,boxscore,OAK,@,LAA,L,1,5,,29-52,5,16.0,Canning,Medina,,2:23,N,24586,.01,---,
82,Tuesday Jun 25,boxscore,OAK,@,LAA,L,5,7,,29-53,5,16.0,Anderson,Spence,Estévez,2:47,N,26473,.02,----,
83,Wednesday Jun 26,boxscore,OAK,@,LAA,L,2,5,,29-54,5,17.0,Moore,Estes,,2:37,D,31240,.01,-----,
84,Friday Jun 28,boxscore,OAK,@,ARI,W,9,4,,30-54,5,17.0,Alexander,Thompson,,2:57,N,25846,.01,+,
85,Saturday Jun 29,boxscore,OAK,@,ARI,L,0,3,,30-55,5,17.0,Gallen,Harris,Sewald,2:13,D,39843,.01,-,
86,Sunday Jun 30,boxscore,OAK,@,ARI,L,1,5,,30-56,5,17.0,Mantiply,McFarland,,2:21,D,26413,.01,--,
87,Tuesday Jul 2,boxscore,OAK,,LAA,W,7,5,,31-56,5,16.0,Spence,Soriano,,2:40,N,5447,.00,+,
88,Wednesday Jul 3,boxscore,OAK,,LAA,W,5,0,,32-56,5,15.0,Estes,Daniel,,2:14,N,14837,.01,++,
89,Thursday Jul 4,boxscore,OAK,,LAA,W,5,0,,33-56,5,15.0,Sears,Contreras,,2:38,D,11956,.01,+++,
90,Friday Jul 5,boxscore,OAK,,BAL,L,2,3,,33-57,5,16.0,Suárez,Harris,Kimbrel,2:28,N,9654,.01,-,
91,Saturday Jul 6,boxscore,OAK,,BAL,W,19,8,,34-57,5,15.0,Medina,Povich,,2:59,D,8526,.01,+,
92,Sunday Jul 7,boxscore,OAK,,BAL,L,3,6,,34-58,5,15.0,Rodriguez,Spence,Kimbrel,2:35,D,14524,.01,-,
93,Tuesday Jul 9,boxscore,OAK,@,BOS,L,9,12,,34-59,5,16.0,Bello,Estes,,3:05,N,31826,.01,--,
94,Wednesday Jul 10,boxscore,OAK,@,BOS,W,5,2,,35-59,5,16.0,Sears,Pivetta,Miller,2:46,N,32935,.01,+,
95,Thursday Jul 11,boxscore,OAK,@,BOS,L,0,7,,35-60,5,17.0,Houck,Medina,Anderson,2:20,N,33512,.00,-,
96,Friday Jul 12,boxscore,OAK,@,PHI,W,6,2,,36-60,5,16.0,Bido,Suárez,,2:37,N,42570,.00,+,
97,Saturday Jul 13,boxscore,OAK,@,PHI,L,5,11,,36-61,5,16.0,Phillips,Spence,,2:55,D,44231,.00,-,
98,Sunday Jul 14,boxscore,OAK,@,PHI,W,18,3,,37-61,5,15.0,Estes,Mercado,,2:35,D,43025,.00,+,
99,Friday Jul 19,boxscore,OAK,,LAA,W,13,3,,38-61,5,14.0,Sears,Canning,,2:39,N,11596,.00,++,
100,Saturday Jul 20,boxscore,OAK,,LAA,W,8,2,,39-61,5,14.0,Spence,Kochanowicz,,2:29,D,14574,.01,+++,
101,Sunday Jul 21,boxscore,OAK,,LAA,L,5,8,,39-62,5,14.0,García,Erceg,Estévez,3:08,D,10380,.01,-,
102,Monday Jul 22,boxscore,OAK,,HOU,W,4,0,,40-62,5,13.0,Harris,Arrighetti,,2:07,N,4517,.01,+,
103,Tuesday Jul 23,boxscore,OAK,,HOU,W,8,2,,41-62,5,12.0,Bido,Bloss,,2:24,N,5896,.01,++,
104,Wednesday Jul 24,boxscore,OAK,,HOU,L,1,8,,41-63,5,13.0,Brown,Sears,,2:30,D,14978,.01,-,
105,Thursday Jul 25,boxscore,OAK,@,LAA,W,6,5,,42-63,5,12.5,Stripling,Rosenberg,Ferguson,2:36,N,25752,.01,+,
106,Friday Jul 26,boxscore,OAK,@,LAA,W,5,4,,43-63,5,12.5,Blackburn,Crouse,Erceg,2:29,N,28722,.01,++,
107,Saturday Jul 27,boxscore,OAK,@,LAA,W,3,1,,44-63,5,12.5,Spence,Anderson,Ferguson,2:23,N,33755,.01,+++,
108,Sunday Jul 28,boxscore,OAK,@,LAA,L,6,8,,44-64,5,12.5,Contreras,Bido,García,2:48,D,27016,.01,-,
109,Tuesday Jul 30,boxscore,OAK,@,SFG,W,5,2,,45-64,5,12.0,Sears,Ray,,2:40,N,37885,.01,+,
110,Wednesday Jul 31,boxscore,OAK,@,SFG,L,0,1,,45-65,5,12.0,Webb,Stripling,,1:55,N,38668,.01,-,
111,Friday Aug 2,boxscore,OAK,,LAD,W,6,5,,46-65,5,12.0,Estes,Stone,,2:27,N,21060,.01,+,
112,Saturday Aug 3,boxscore,OAK,,LAD,L,0,10,,46-66,5,13.0,Flaherty,Spence,,2:47,N,35207,.01,-,
113,Sunday Aug 4,boxscore,OAK,,LAD,L,2,3,,46-67,5,13.0,Vesia,Bido,Banda,2:27,D,25544,.01,--,
114,Monday Aug 5,boxscore,OAK,,CHW,W,5,1,,47-67,5,12.5,Sears,Bush,,2:15,N,4971,.00,+,
115,Tuesday Aug 6,boxscore,OAK,,CHW,L,1,5,,47-68,5,12.5,Cannon,Stripling,,2:18,N,5867,.01,-,
116,Wednesday Aug 7,boxscore,OAK,,CHW,W,3,2,,48-68,5,12.0,McFarland,Toussaint,Miller,2:14,D,6964,.00,+,
117,Friday Aug 9,boxscore,OAK,@,TOR,L,1,3,,48-69,5,13.0,Berríos,Spence,Green,2:20,N,39894,.01,-,
118,Saturday Aug 10,boxscore,OAK,@,TOR,W,1,0,,49-69,5,13.0,Bido,Rodríguez,Miller,2:20,D,34312,.00,+,
119,Sunday Aug 11,boxscore,OAK,@,TOR,W,8,4,,50-69,5,13.0,Sears,Bassitt,,2:35,D,38797,.01,++,
120,Tuesday Aug 13,boxscore,OAK,@,NYM,W,9,4,,51-69,5,13.5,Adams,Blackburn,,3:00,N,31923,.00,+++,
121,Wednesday Aug 14,boxscore,OAK,@,NYM,L,1,9,,51-70,5,14.5,Peterson,Estes,,2:29,N,28288,.00,-,
122,Thursday Aug 15,boxscore,OAK,@,NYM,W,7,6,,52-70,5,14.0,Ferguson,Garrett,Miller,3:45,D,28461,.00,+,
123,Saturday Aug 17,boxscore,OAK,,SFG,W,2,0,,53-70,4,13.5,Bido,Birdsong,Otañez,2:37,D,37551,.00,++,
124,Sunday Aug 18,boxscore,OAK,,SFG,L,2,4,10,53-71,4,14.5,Walker,Jiménez,,2:42,D,32727,.00,-,
125,Monday Aug 19,boxscore,OAK,,TBR,W,3,0,,54-71,4,14.5,Boyle,Bradley,Miller,2:22,N,3938,.00,+,
126,Tuesday Aug 20,boxscore,OAK,,TBR,L,0,1,,54-72,4,14.5,Baz,Estes,Uceta,1:54,N,4377,.00,-,
127,Wednesday Aug 21,boxscore,OAK,,TBR,L,2,4,,54-73,4,14.5,Pepiot,Spence,Rodríguez,2:32,N,10339,.00,--,
128,Thursday Aug 22,boxscore,OAK,,TBR,W,3,1,,55-73,4,14.5,Bido,Springs,Miller,2:30,D,5142,.00,+,
129,Friday Aug 23,boxscore,OAK,,MIL,L,3,11,,55-74,4,14.5,Hudson,Sears,,2:51,N,14031,.00,-,
130,Saturday Aug 24,boxscore,OAK,,MIL,L,5,9,,55-75,4,14.5,Rea,Boyle,,2:58,D,12769,.00,--,
131,Sunday Aug 25,boxscore,OAK,,MIL,W,4,3,,56-75,4,14.5,Estes,Montas,Miller,2:27,D,15961,.00,+,
132,Tuesday Aug 27,boxscore,OAK,@,CIN,W,5,4,,57-75,4,13.0,Otañez,Santillan,Miller,2:57,N,15786,.00,++,
133,Wednesday Aug 28,boxscore,OAK,@,CIN,W,9,6,,58-75,4,13.0,Ferguson,Pagán,Miller,2:27,N,12065,.00,+++,
134,Thursday Aug 29,boxscore,OAK,@,CIN,L-wo,9,10,,58-76,4,14.0,Pagán,Holman,,2:49,N,36098,.00,-,
135,Friday Aug 30,boxscore,OAK,@,TEX,W,9,2,,59-76,4,14.0,Sears,Gray,,2:38,N,28111,.00,+,
136,Saturday Aug 31,boxscore,OAK,@,TEX,L-wo,2,3,,59-77,4,15.0,Yates,Ferguson,,2:20,N,28454,.00,-,
137,Sunday Sep 1,boxscore,OAK,@,TEX,L-wo,4,6,10,59-78,4,16.0,Festa,Miller,,3:03,D,33309,.00,--,
138,Monday Sep 2,boxscore,OAK,,SEA,W-wo,5,4,,60-78,4,15.0,Ferguson,Voth,,2:40,D,12167,.00,+,
139,Tuesday Sep 3,boxscore,OAK,,SEA,W-wo,3,2,,61-78,4,14.5,Harris,Thornton,,2:15,N,3924,.00,++,
140,Wednesday Sep 4,boxscore,OAK,,SEA,L,3,16,,61-79,4,14.5,Kirby,Sears,,2:47,N,4390,.00,-,
141,Thursday Sep 5,boxscore,OAK,,SEA,L,4,6,,61-80,4,14.5,Woo,Estes,,2:51,D,5581,.00,--,
