Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
78,Wednesday Jun 29,boxscore,WSN,,PIT,L,7,8,,29-49,5,19.0,De Jong,Edwards,De los Santos,3:48,D,19870,.02,-,
79,Friday Jul 1,boxscore,WSN,,MIA,L,3,6,,29-50,5,20.0,Rogers,Gray,Scott,3:05,N,23794,.03,--,
80,Saturday Jul 2,boxscore,WSN,,MIA,L,3,5,,29-51,5,20.0,Castano,Tetreault,Scott,3:20,D,19674,.01,---,
81,Sunday Jul 3,boxscore,WSN,,MIA,L,4,7,10,29-52,5,21.0,Scott,Edwards,Floro,3:51,D,25385,.01,----,
82,Monday Jul 4,boxscore,WSN,,MIA,L,2,3,10,29-53,5,22.0,Yacabonis,Rainey,Floro,2:53,D,25129,.00,-----,
83,Tuesday Jul 5,boxscore,WSN,@,PHI,L,0,11,,29-54,5,22.0,Sánchez,Espino,,3:03,N,20217,.01,------,
84,Wednesday Jul 6,boxscore,WSN,@,PHI,W,3,2,,30-54,5,22.0,Gray,Nola,Rainey,2:57,N,22369,.00,+,
85,Thursday Jul 7,boxscore,WSN,@,PHI,L,3,5,,30-55,5,23.0,Nelson,Adon,Domínguez,2:56,D,22104,.01,-,
86,Friday Jul 8,boxscore,WSN,@,ATL,L,2,12,,30-56,5,23.0,Morton,Fedde,,2:51,N,41725,.00,--,
87,Saturday Jul 9,boxscore,WSN,@,ATL,L,3,4,,30-57,5,24.0,Wright,Corbin,Minter,2:36,D,40632,.00,---,
88,Sunday Jul 10,boxscore,WSN,@,ATL,L-wo,3,4,12,30-58,5,24.0,McHugh,Weems,,3:53,D,32053,.00,----,
89,Wednesday Jul 13 (1),boxscore,WSN,,SEA,L,4,6,,30-59,5,25.5,Flexen,Gray,Sewald,2:53,D,16260,.00,-----,2022-07-12 (Rain)
90,Wednesday Jul 13 (2),boxscore,WSN,,SEA,L,1,2,,30-60,5,25.5,Milone,Fedde,Sewald,2:58,N,19869,.00,------,
91,Thursday Jul 14,boxscore,WSN,,ATL,L,4,5,,30-61,5,26.5,Wright,Sánchez,Jansen,2:54,N,25577,.00,-------,
92,Friday Jul 15,boxscore,WSN,,ATL,L,4,8,,30-62,5,27.0,Anderson,Corbin,Minter,3:32,N,30409,.00,--------,
93,Saturday Jul 16,boxscore,WSN,,ATL,L,3,6,,30-63,5,28.5,Fried,Espino,Jansen,2:47,D,37880,.00,---------,
94,Sunday Jul 17,boxscore,WSN,,ATL,W,7,3,,31-63,5,27.5,Cishek,Strider,,2:54,D,26043,.00,+,
95,Friday Jul 22,boxscore,WSN,@,ARI,L,1,10,,31-64,5,27.5,Gallen,Corbin,,2:46,N,17819,.00,-,
96,Saturday Jul 23,boxscore,WSN,@,ARI,L,2,7,,31-65,5,27.5,Bumgarner,Sánchez,,2:44,N,37802,.00,--,
97,Sunday Jul 24,boxscore,WSN,@,ARI,W,4,3,,32-65,5,27.5,Edwards,Mantiply,Finnegan,3:44,D,20278,.00,+,
98,Monday Jul 25,boxscore,WSN,@,LAD,W,4,1,,33-65,5,27.0,Machado,Gonsolin,Finnegan,3:14,N,48647,.00,++,
99,Tuesday Jul 26,boxscore,WSN,@,LAD,W,8,3,,34-65,5,27.0,Ramírez,Cleavinger,,3:27,N,53302,.00,+++,
100,Wednesday Jul 27,boxscore,WSN,@,LAD,L,1,7,,34-66,5,28.0,Vesia,Corbin,,3:03,D,44229,.00,-,
101,Friday Jul 29,boxscore,WSN,,STL,L,2,6,,34-67,5,29.0,Mikolas,Sánchez,,2:42,N,30170,.00,--,
102,Saturday Jul 30,boxscore,WSN,,STL,W,7,6,,35-67,5,29.0,Ramírez,Cabrera,Finnegan,3:18,N,34440,.00,+,
103,Sunday Jul 31,boxscore,WSN,,STL,L,0,5,,35-68,5,30.0,Pallante,Gray,,2:50,D,28738,.00,-,
104,Monday Aug 1,boxscore,WSN,,NYM,L,3,7,,35-69,5,31.0,Scherzer,Corbin,,3:20,N,29034,.00,--,
105,Tuesday Aug 2,boxscore,WSN,,NYM,W,5,1,,36-69,5,30.0,Arano,Nogosek,,2:48,N,29878,.00,+,
106,Wednesday Aug 3,boxscore,WSN,,NYM,L,5,9,,36-70,5,31.0,Bassitt,Sánchez,,3:18,D,27851,.00,-,
107,Thursday Aug 4,boxscore,WSN,@,PHI,L,4,5,5,36-71,5,32.0,Syndergaard,Espino,,1:39,N,35393,.00,--,
108,Friday Aug 5,boxscore,WSN,@,PHI,L,2,7,,36-72,5,32.0,Gibson,Gray,,2:46,N,22024,.00,---,
109,Saturday Aug 6,boxscore,WSN,@,PHI,L,5,11,,36-73,5,33.5,Suárez,Corbin,,3:39,N,27078,.00,----,
110,Sunday Aug 7,boxscore,WSN,@,PHI,L,1,13,,36-74,5,34.5,Nola,Abbott,,3:19,D,28672,.00,-----,
111,Monday Aug 8,boxscore,WSN,@,CHC,L,3,6,,36-75,5,35.5,Thompson,Sánchez,Wick,2:48,N,30904,.00,------,
112,Tuesday Aug 9,boxscore,WSN,@,CHC,W,6,5,,37-75,5,35.5,Finnegan,Leiter,Edwards,3:17,N,37193,.00,+,
113,Wednesday Aug 10,boxscore,WSN,@,CHC,L,2,4,,37-76,5,36.5,Rucker,Cishek,Wick,2:45,D,29019,.00,-,
114,Friday Aug 12,boxscore,WSN,,SDP,L,5,10,,37-77,5,36.5,Clevinger,Abbott,,4:03,N,35390,.00,--,
115,Saturday Aug 13,boxscore,WSN,,SDP,W,4,3,,38-77,5,36.5,Finnegan,Darvish,Edwards,3:31,N,33661,.00,+,
116,Sunday Aug 14,boxscore,WSN,,SDP,L,0,6,,38-78,5,37.5,Snell,Espino,,3:18,D,27498,.00,-,
117,Monday Aug 15,boxscore,WSN,,CHC,W,5,4,,39-78,5,36.5,Edwards,Hughes,Finnegan,2:59,N,25467,.00,+,
118,Tuesday Aug 16,boxscore,WSN,,CHC,L,5,7,11,39-79,5,36.5,Hughes,Arano,Leiter,3:47,N,26362,.00,-,
119,Wednesday Aug 17,boxscore,WSN,,CHC,L,2,3,,39-80,5,37.5,Uelmen,McGee,Wick,2:56,D,28302,.00,--,
120,Thursday Aug 18,boxscore,WSN,@,SDP,W,3,1,,40-80,5,36.5,Edwards,Darvish,Finnegan,3:19,N,41820,.00,+,
121,Friday Aug 19,boxscore,WSN,@,SDP,W,6,3,,41-80,5,36.5,Ramírez,Hader,Finnegan,3:46,N,39474,.00,++,
